timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586521,67.86,1.16,1652,68.0,99.79,97.07,83.26,97.85,2.58,1.5898,8.1990,96.42,110.0,41.8,96.8,1993.09
1763910587521,67.18,1.17,1652,68.0,99.78,97.05,83.26,97.85,2.58,1.5948,8.1990,96.42,110.0,41.8,96.8,1993.09
1763910588521,67.78,1.07,1652,68.0,99.77,97.04,83.26,97.85,2.58,1.5998,8.1990,96.42,110.0,41.8,96.8,1993.09
1763910589521,67.15,1.13,1652,68.0,99.76,97.02,83.26,97.85,2.58,1.6048,8.1990,96.41,110.0,41.8,96.8,1993.09
1763910590521,66.78,1.00,1652,68.0,99.75,97.01,83.26,97.85,2.58,1.6098,8.1990,96.41,110.0,41.8,96.8,1993.09
1763910591521,66.37,1.00,1652,68.0,99.74,96.99,83.26,97.85,2.58,1.6148,8.1990,96.41,110.0,41.8,96.8,1993.09
1763910592521,65.95,0.98,1652,68.0,99.73,96.98,83.26,97.85,2.58,1.6198,8.1990,96.41,110.0,41.8,96.8,1993.10
1763910593521,65.44,0.83,1652,68.0,99.72,96.96,83.26,97.85,2.58,1.6248,8.1990,96.41,110.0,41.8,96.8,1993.10
1763910594521,65.92,0.84,1652,68.0,99.71,96.95,83.26,97.85,2.58,1.6298,8.1990,96.40,110.0,41.8,96.7,1993.10
1763910595521,65.78,0.83,1652,68.0,99.70,96.93,83.26,97.85,2.58,1.6348,8.1990,96.40,110.0,41.8,96.7,1993.10
1763910596521,66.29,0.72,1652,68.0,99.69,96.92,83.26,97.85,2.58,1.6398,8.1990,96.40,110.0,41.8,96.7,1993.10
1763910597521,66.93,0.80,1652,68.0,99.68,96.90,83.26,97.85,2.58,1.6448,8.1990,96.40,110.0,41.8,96.7,1993.10
1763910598521,67.24,0.79,1652,68.0,99.67,96.89,83.26,97.85,2.58,1.6498,8.1990,96.40,110.0,41.8,96.7,1993.10
1763910599521,67.15,0.88,1652,68.0,99.66,96.87,83.26,97.85,2.58,1.6548,8.1990,96.39,110.0,41.8,96.7,1993.10
1763910600521,66.66,1.02,1652,68.0,99.65,96.86,83.26,97.85,2.58,1.6598,8.1990,96.39,110.0,41.8,96.7,1993.10
1763910601521,66.86,1.07,1652,68.0,99.64,96.84,83.26,97.85,2.58,1.6648,8.1990,96.39,110.0,41.8,96.7,1993.10
1763910602521,67.13,1.13,1652,68.0,99.63,96.83,83.26,97.85,2.58,1.6698,8.1990,96.39,110.0,41.8,96.7,1993.10
1763910603521,66.76,1.19,1652,68.0,99.62,96.81,83.26,97.85,2.58,1.6748,8.1990,96.39,110.0,41.8,96.7,1993.10
1763910604521,66.14,1.16,1652,68.0,99.61,96.80,83.26,97.85,2.58,1.6798,8.1990,96.38,110.0,41.8,96.6,1993.10
