timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586405,74.03,0.60,1330,53.3,80.36,82.94,86.33,83.02,11.58,0.0417,2.5625,96.04,101.6,44.3,99.9,1319.29
1763910587405,74.35,0.49,1330,53.3,80.35,82.93,86.33,83.02,11.58,0.0467,2.5625,96.04,101.6,44.3,99.9,1319.29
1763910588405,74.75,0.45,1330,53.3,80.34,82.91,86.33,83.02,11.58,0.0517,2.5625,96.04,101.6,44.3,99.9,1319.29
1763910589405,74.40,0.55,1330,53.3,80.33,82.90,86.33,83.02,11.58,0.0567,2.5625,96.04,101.6,44.3,99.9,1319.29
1763910590405,74.84,0.62,1330,53.3,80.32,82.88,86.33,83.02,11.58,0.0617,2.5625,96.03,101.6,44.3,99.9,1319.29
1763910591405,75.56,0.61,1330,53.3,80.31,82.87,86.33,83.02,11.58,0.0667,2.5625,96.03,101.6,44.3,99.9,1319.29
1763910592405,76.10,0.61,1330,53.3,80.30,82.85,86.33,83.02,11.58,0.0717,2.5625,96.03,101.6,44.3,99.9,1319.29
1763910593405,76.78,0.50,1330,53.3,80.29,82.84,86.33,83.02,11.58,0.0767,2.5625,96.03,101.6,44.3,99.8,1319.30
1763910594405,77.21,0.46,1330,53.3,80.28,82.82,86.33,83.02,11.58,0.0817,2.5625,96.03,101.6,44.3,99.8,1319.30
1763910595405,76.55,0.42,1330,53.3,80.27,82.81,86.33,83.02,11.58,0.0867,2.5625,96.02,101.6,44.3,99.8,1319.30
1763910596405,76.26,0.56,1330,53.3,80.26,82.79,86.33,83.02,11.58,0.0917,2.5625,96.02,101.6,44.3,99.8,1319.30
1763910597405,75.77,0.57,1330,53.3,80.25,82.78,86.33,83.02,11.58,0.0967,2.5625,96.02,101.6,44.3,99.8,1319.30
1763910598405,75.53,0.61,1330,53.3,80.24,82.76,86.33,83.02,11.58,0.1017,2.5625,96.02,101.6,44.3,99.8,1319.30
1763910599405,74.91,0.64,1330,53.3,80.23,82.75,86.33,83.02,11.58,0.1067,2.5625,96.02,101.6,44.3,99.8,1319.30
1763910600405,75.43,0.56,1330,53.3,80.22,82.73,86.33,83.02,11.58,0.1117,2.5625,96.01,101.6,44.3,99.8,1319.30
1763910601405,75.81,0.58,1330,53.3,80.21,82.72,86.33,83.02,11.58,0.1167,2.5625,96.01,101.6,44.3,99.8,1319.30
1763910602405,75.08,0.49,1330,53.3,80.20,82.70,86.33,83.02,11.58,0.1217,2.5625,96.01,101.6,44.3,99.8,1319.30
1763910603405,75.49,0.39,1330,53.3,80.19,82.69,86.33,83.02,11.58,0.1267,2.5625,96.01,101.6,44.3,99.7,1319.30
1763910604405,75.36,0.47,1330,53.3,80.18,82.67,86.33,83.02,11.58,0.1317,2.5625,96.01,101.6,44.3,99.7,1319.30
1763910605405,76.02,0.42,1330,53.3,80.17,82.66,86.33,83.02,11.58,0.1367,2.5625,96.00,101.6,44.3,99.7,1319.30
1763910606405,75.72,0.53,1330,53.3,80.16,82.64,86.33,83.02,11.58,0.1417,2.5625,96.00,101.6,44.3,99.7,1319.30
1763910607405,76.31,0.61,1330,53.3,80.15,82.63,86.33,83.02,11.58,0.1467,2.5625,96.00,101.6,44.3,99.7,1319.30
1763910608405,76.41,0.56,1330,53.3,80.14,82.61,86.33,83.02,11.58,0.1517,2.5625,96.00,101.6,44.3,99.7,1319.30
1763910609405,77.13,0.64,1330,53.3,80.13,82.60,86.33,83.02,11.58,0.1567,2.5625,96.00,101.6,44.3,99.7,1319.30
1763910610405,77.03,0.64,1330,53.3,80.12,82.58,86.33,83.02,11.58,0.1617,2.5625,95.99,101.6,44.3,99.7,1319.30
1763910611405,77.45,0.72,1330,53.3,80.11,82.57,86.33,83.02,11.58,0.1667,2.5625,95.99,101.6,44.3,99.7,1319.30
1763910612405,78.07,0.64,1330,53.3,80.10,82.55,86.33,83.02,11.58,0.1717,2.5625,95.99,101.6,44.3,99.7,1319.30
1763910613405,78.78,0.78,1330,53.3,80.09,82.54,86.33,83.02,11.58,0.1767,2.5625,95.99,101.6,44.3,99.6,1319.30
