timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586464,86.79,4.66,1580,58.3,34.80,93.67,88.33,83.58,13.29,4.2615,1.4847,75.13,102.5,48.9,90.6,1456.24
1763910587464,87.13,4.66,1580,58.3,34.79,93.66,88.33,83.58,13.29,4.2665,1.4847,75.12,102.5,48.9,90.4,1456.24
1763910588464,87.67,4.62,1580,58.3,34.78,93.64,88.33,83.58,13.29,4.2715,1.4847,75.12,102.5,48.9,90.1,1456.24
1763910589464,87.81,4.65,1580,58.3,34.77,93.63,88.33,83.58,13.29,4.2765,1.4847,75.12,102.5,48.9,90.0,1456.24
1763910590464,88.19,4.53,1580,58.3,34.76,93.61,88.33,83.58,13.29,4.2815,1.4847,75.12,102.5,48.9,89.8,1456.24
1763910591464,87.87,4.60,1580,58.3,34.75,93.60,88.33,83.58,13.29,4.2865,1.4847,75.12,102.5,48.9,90.0,1456.24
1763910592464,87.32,4.64,1580,58.3,34.74,93.58,88.33,83.58,13.29,4.2915,1.4847,75.11,102.5,48.9,90.3,1456.24
1763910593464,87.30,4.73,1580,58.3,34.73,93.57,88.33,83.58,13.29,4.2965,1.4847,75.11,102.5,48.9,90.3,1456.24
1763910594464,87.87,4.73,1580,58.3,34.72,93.55,88.33,83.58,13.29,4.3015,1.4847,75.11,102.5,48.9,90.0,1456.24
1763910595464,87.25,4.86,1580,58.3,34.71,93.54,88.33,83.58,13.29,4.3065,1.4847,75.11,102.5,48.9,90.3,1456.24
1763910596464,87.23,4.99,1580,58.3,34.70,93.52,88.33,83.58,13.29,4.3115,1.4847,75.11,102.5,48.9,90.3,1456.24
1763910597464,86.87,4.91,1580,58.3,34.69,93.51,88.33,83.58,13.29,4.3165,1.4847,75.10,102.5,48.9,90.4,1456.24
1763910598464,86.45,4.78,1580,58.3,34.68,93.49,88.33,83.58,13.29,4.3215,1.4847,75.10,102.5,48.9,90.6,1456.24
1763910599464,86.82,4.71,1580,58.3,34.67,93.48,88.33,83.58,13.29,4.3265,1.4847,75.10,102.5,48.9,90.4,1456.24
1763910600464,86.30,4.79,1580,58.3,34.66,93.46,88.33,83.58,13.29,4.3315,1.4847,75.10,102.5,48.9,90.7,1456.24
1763910601464,86.16,4.83,1580,58.3,34.65,93.45,88.33,83.58,13.29,4.3365,1.4847,75.10,102.5,48.9,90.7,1456.24
1763910602464,85.90,4.93,1580,58.3,34.64,93.43,88.33,83.58,13.29,4.3415,1.4847,75.09,102.5,48.9,90.9,1456.24
1763910603464,85.24,5.01,1580,58.3,34.63,93.42,88.33,83.58,13.29,4.3465,1.4847,75.09,102.5,48.9,91.2,1456.24
1763910604464,84.99,4.88,1580,58.3,34.62,93.40,88.33,83.58,13.29,4.3515,1.4847,75.09,102.5,48.9,91.3,1456.24
1763910605464,85.56,4.87,1580,58.3,34.61,93.39,88.33,83.58,13.29,4.3565,1.4847,75.09,102.5,48.9,91.0,1456.24
1763910606464,85.60,5.00,1580,58.3,34.60,93.37,88.33,83.58,13.29,4.3615,1.4847,75.09,102.5,48.9,91.0,1456.24
1763910607464,85.00,4.97,1580,58.3,34.59,93.36,88.33,83.58,13.29,4.3665,1.4847,75.08,102.5,48.9,91.3,1456.24
1763910608464,84.82,4.97,1580,58.3,34.58,93.34,88.33,83.58,13.29,4.3715,1.4847,75.08,102.5,48.9,91.3,1456.24
1763910609464,84.40,4.97,1580,58.3,34.57,93.33,88.33,83.58,13.29,4.3765,1.4847,75.08,102.5,48.9,91.2,1456.25
1763910610464,84.84,4.94,1580,58.3,34.56,93.31,88.33,83.58,13.29,4.3815,1.4847,75.08,102.5,48.9,91.2,1456.25
1763910611464,84.98,4.95,1580,58.3,34.55,93.30,88.33,83.58,13.29,4.3865,1.4847,75.08,102.5,48.9,91.2,1456.25
1763910612464,85.33,4.97,1580,58.3,34.54,93.28,88.33,83.58,13.29,4.3915,1.4847,75.07,102.5,48.9,91.1,1456.25
1763910613464,85.43,4.86,1580,58.3,34.53,93.27,88.33,83.58,13.29,4.3965,1.4847,75.07,102.5,48.9,91.0,1456.25
1763910614464,84.70,4.95,1580,58.3,34.52,93.25,88.33,83.58,13.29,4.4015,1.4847,75.07,102.5,48.9,91.2,1456.25
1763910615464,85.13,4.84,1580,58.3,34.51,93.24,88.33,83.58,13.29,4.4065,1.4847,75.07,102.5,48.9,91.1,1456.25
1763910616464,85.00,4.79,1580,58.3,34.50,93.22,88.33,83.58,13.29,4.4115,1.4847,75.07,102.5,48.9,91.2,1456.25
1763910617464,85.52,4.89,1580,58.3,34.49,93.21,88.33,83.58,13.29,4.4165,1.4847,75.06,102.5,48.9,90.9,1456.25
1763910618464,85.47,4.90,1580,58.3,34.48,93.19,88.33,83.58,13.29,4.4215,1.4847,75.06,102.5,48.9,90.9,1456.25
1763910619464,86.11,5.04,1580,58.3,34.47,93.18,88.33,83.58,13.29,4.4265,1.4847,75.06,102.5,48.9,90.6,1456.25
1763910620464,86.19,5.03,1580,58.3,34.46,93.16,88.33,83.58,13.29,4.4315,1.4847,75.06,102.5,48.9,90.5,1456.25
1763910621464,86.10,5.18,1580,58.3,34.45,93.15,88.33,83.58,13.29,4.4365,1.4847,75.06,102.5,48.9,90.6,1456.25
1763910622464,86.02,5.20,1580,58.3,34.44,93.13,88.33,83.58,13.29,4.4415,1.4847,75.05,102.5,48.9,90.6,1456.25
1763910623464,85.62,5.15,1580,58.3,34.43,93.12,88.33,83.58,13.29,4.4465,1.4847,75.05,102.5,48.9,90.8,1456.25
1763910624464,84.88,5.01,1580,58.3,34.42,93.10,88.33,83.58,13.29,4.4515,1.4847,75.05,102.5,48.9,91.1,1456.25
1763910625464,84.36,4.99,1580,58.3,34.41,93.09,88.33,83.58,13.29,4.4565,1.4847,75.05,102.5,48.9,91.1,1456.25
1763910626464,83.98,4.87,1580,58.3,34.40,93.07,88.33,83.58,13.29,4.4615,1.4847,75.05,102.5,48.9,91.1,1456.25
1763910627464,83.42,4.87,1580,58.3,34.39,93.06,88.33,83.58,13.29,4.4665,1.4847,75.04,102.5,48.9,91.1,1456.25
1763910628464,83.66,4.82,1580,58.3,34.38,93.04,88.33,83.58,13.29,4.4715,1.4847,75.04,102.5,48.9,91.1,1456.25
1763910629464,83.83,4.96,1580,58.3,34.37,93.03,88.33,83.58,13.29,4.4765,1.4847,75.04,102.5,48.9,91.0,1456.25
