timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586459,67.03,1.41,1457,67.3,83.45,97.39,86.54,95.84,8.33,0.8062,8.0377,97.21,108.3,45.5,98.4,1707.05
1763910587459,66.61,1.40,1457,67.3,83.44,97.37,86.54,95.84,8.33,0.8112,8.0377,97.20,108.3,45.5,98.4,1707.05
1763910588459,66.97,1.43,1457,67.3,83.43,97.36,86.54,95.84,8.33,0.8162,8.0377,97.20,108.3,45.5,98.4,1707.05
1763910589459,67.19,1.54,1457,67.3,83.42,97.34,86.54,95.84,8.33,0.8212,8.0377,97.20,108.3,45.5,98.4,1707.05
1763910590459,67.40,1.48,1457,67.3,83.41,97.33,86.54,95.84,8.33,0.8262,8.0377,97.20,108.3,45.5,98.3,1707.05
1763910591459,67.71,1.34,1457,67.3,83.40,97.31,86.54,95.84,8.33,0.8312,8.0377,97.20,108.3,45.5,98.3,1707.05
1763910592459,66.98,1.38,1457,67.3,83.39,97.30,86.54,95.84,8.33,0.8362,8.0377,97.19,108.3,45.5,98.3,1707.05
1763910593459,66.49,1.27,1457,67.3,83.38,97.28,86.54,95.84,8.33,0.8412,8.0377,97.19,108.3,45.5,98.3,1707.05
1763910594459,65.83,1.31,1457,67.3,83.37,97.27,86.54,95.84,8.33,0.8462,8.0377,97.19,108.3,45.5,98.3,1707.05
1763910595459,66.42,1.16,1457,67.3,83.36,97.25,86.54,95.84,8.33,0.8512,8.0377,97.19,108.3,45.5,98.3,1707.05
1763910596459,65.97,1.16,1457,67.3,83.35,97.24,86.54,95.84,8.33,0.8562,8.0377,97.19,108.3,45.5,98.3,1707.05
1763910597459,66.26,1.06,1457,67.3,83.34,97.22,86.54,95.84,8.33,0.8612,8.0377,97.18,108.3,45.5,98.3,1707.05
1763910598459,66.79,0.97,1457,67.3,83.33,97.21,86.54,95.84,8.33,0.8662,8.0377,97.18,108.3,45.5,98.3,1707.05
1763910599459,66.09,1.02,1457,67.3,83.32,97.19,86.54,95.84,8.33,0.8712,8.0377,97.18,108.3,45.5,98.3,1707.05
