timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586418,74.05,0.59,1395,51.9,93.34,82.16,97.95,98.77,0.52,1.6412,4.8746,98.20,104.6,41.8,96.7,2986.90
1763910587418,74.03,0.57,1395,51.9,93.33,82.15,97.95,98.77,0.52,1.6462,4.8746,98.20,104.6,41.8,96.7,2986.90
1763910588418,73.63,0.44,1395,51.9,93.32,82.13,97.95,98.77,0.52,1.6512,4.8746,98.19,104.6,41.8,96.7,2986.90
1763910589418,73.82,0.43,1395,51.9,93.31,82.12,97.95,98.77,0.52,1.6562,4.8746,98.19,104.6,41.8,96.7,2986.90
1763910590418,74.53,0.34,1395,51.9,93.30,82.10,97.95,98.77,0.52,1.6612,4.8746,98.19,104.6,41.8,96.7,2986.90
1763910591418,74.75,0.44,1395,51.9,93.29,82.09,97.95,98.77,0.52,1.6662,4.8746,98.19,104.6,41.8,96.7,2986.90
1763910592418,75.01,0.31,1395,51.9,93.28,82.07,97.95,98.77,0.52,1.6712,4.8746,98.19,104.6,41.8,96.7,2986.90
1763910593418,75.72,0.38,1395,51.9,93.27,82.06,97.95,98.77,0.52,1.6762,4.8746,98.18,104.6,41.8,96.6,2986.90
1763910594418,75.18,0.38,1395,51.9,93.26,82.04,97.95,98.77,0.52,1.6812,4.8746,98.18,104.6,41.8,96.6,2986.90
1763910595418,75.34,0.49,1395,51.9,93.25,82.03,97.95,98.77,0.52,1.6862,4.8746,98.18,104.6,41.8,96.6,2986.90
1763910596418,74.76,0.54,1395,51.9,93.24,82.01,97.95,98.77,0.52,1.6912,4.8746,98.18,104.6,41.8,96.6,2986.90
1763910597418,75.29,0.49,1395,51.9,93.23,82.00,97.95,98.77,0.52,1.6962,4.8746,98.18,104.6,41.8,96.6,2986.90
1763910598418,75.46,0.42,1395,51.9,93.22,81.98,97.95,98.77,0.52,1.7012,4.8746,98.17,104.6,41.8,96.6,2986.90
1763910599418,74.95,0.45,1395,51.9,93.21,81.97,97.95,98.77,0.52,1.7062,4.8746,98.17,104.6,41.8,96.6,2986.90
1763910600418,74.34,0.48,1395,51.9,93.20,81.95,97.95,98.77,0.52,1.7112,4.8746,98.17,104.6,41.8,96.6,2986.90
1763910601418,74.29,0.48,1395,51.9,93.19,81.94,97.95,98.77,0.52,1.7162,4.8746,98.17,104.6,41.8,96.6,2986.90
1763910602418,74.59,0.46,1395,51.9,93.18,81.92,97.95,98.77,0.52,1.7212,4.8746,98.17,104.6,41.8,96.6,2986.90
1763910603418,74.81,0.49,1395,51.9,93.17,81.91,97.95,98.77,0.52,1.7262,4.8746,98.16,104.6,41.8,96.5,2986.91
1763910604418,74.69,0.54,1395,51.9,93.16,81.89,97.95,98.77,0.52,1.7312,4.8746,98.16,104.6,41.8,96.5,2986.91
1763910605418,75.24,0.43,1395,51.9,93.15,81.88,97.95,98.77,0.52,1.7362,4.8746,98.16,104.6,41.8,96.5,2986.91
1763910606418,74.54,0.46,1395,51.9,93.14,81.86,97.95,98.77,0.52,1.7412,4.8746,98.16,104.6,41.8,96.5,2986.91
1763910607418,74.98,0.54,1395,51.9,93.13,81.85,97.95,98.77,0.52,1.7462,4.8746,98.16,104.6,41.8,96.5,2986.91
1763910608418,74.59,0.46,1395,51.9,93.12,81.83,97.95,98.77,0.52,1.7512,4.8746,98.15,104.6,41.8,96.5,2986.91
1763910609418,74.25,0.34,1395,51.9,93.11,81.82,97.95,98.77,0.52,1.7562,4.8746,98.15,104.6,41.8,96.5,2986.91
1763910610418,74.20,0.30,1395,51.9,93.10,81.80,97.95,98.77,0.52,1.7612,4.8746,98.15,104.6,41.8,96.5,2986.91
1763910611418,74.65,0.22,1395,51.9,93.09,81.79,97.95,98.77,0.52,1.7662,4.8746,98.15,104.6,41.8,96.5,2986.91
1763910612418,74.91,0.23,1395,51.9,93.08,81.77,97.95,98.77,0.52,1.7712,4.8746,98.15,104.6,41.8,96.5,2986.91
1763910613418,74.77,0.27,1395,51.9,93.07,81.76,97.95,98.77,0.52,1.7762,4.8746,98.14,104.6,41.8,96.4,2986.91
1763910614418,74.71,0.23,1395,51.9,93.06,81.74,97.95,98.77,0.52,1.7812,4.8746,98.14,104.6,41.8,96.4,2986.91
1763910615418,75.29,0.16,1395,51.9,93.05,81.73,97.95,98.77,0.52,1.7862,4.8746,98.14,104.6,41.8,96.4,2986.91
1763910616418,74.80,0.10,1395,51.9,93.04,81.71,97.95,98.77,0.52,1.7912,4.8746,98.14,104.6,41.8,96.4,2986.91
1763910617418,74.78,0.00,1395,51.9,93.03,81.70,97.95,98.77,0.52,1.7962,4.8746,98.14,104.6,41.8,96.4,2986.91
1763910618418,75.29,0.00,1395,51.9,93.02,81.68,97.95,98.77,0.52,1.8012,4.8746,98.13,104.6,41.8,96.4,2986.91
1763910619418,75.05,0.00,1395,51.9,93.01,81.67,97.95,98.77,0.52,1.8062,4.8746,98.13,104.6,41.8,96.4,2986.91
1763910620418,74.74,0.01,1395,51.9,93.00,81.65,97.95,98.77,0.52,1.8112,4.8746,98.13,104.6,41.8,96.4,2986.91
1763910621418,74.14,0.00,1395,51.9,92.99,81.64,97.95,98.77,0.52,1.8162,4.8746,98.13,104.6,41.8,96.4,2986.91
1763910622418,74.05,0.00,1395,51.9,92.98,81.62,97.95,98.77,0.52,1.8212,4.8746,98.13,104.6,41.8,96.4,2986.91
1763910623418,74.37,0.00,1395,51.9,92.97,81.61,97.95,98.77,0.52,1.8262,4.8746,98.12,104.6,41.8,96.3,2986.91
1763910624418,73.79,0.06,1395,51.9,92.96,81.59,97.95,98.77,0.52,1.8312,4.8746,98.12,104.6,41.8,96.3,2986.91
1763910625418,73.11,0.11,1395,51.9,92.95,81.58,97.95,98.77,0.52,1.8362,4.8746,98.12,104.6,41.8,96.3,2986.91
1763910626418,73.01,0.24,1395,51.9,92.94,81.56,97.95,98.77,0.52,1.8412,4.8746,98.12,104.6,41.8,96.3,2986.91
1763910627418,73.07,0.12,1395,51.9,92.93,81.55,97.95,98.77,0.52,1.8462,4.8746,98.12,104.6,41.8,96.3,2986.91
1763910628418,72.60,0.00,1395,51.9,92.92,81.53,97.95,98.77,0.52,1.8512,4.8746,98.11,104.6,41.8,96.3,2986.91
1763910629418,71.95,0.00,1395,51.9,92.91,81.52,97.95,98.77,0.52,1.8562,4.8746,98.11,104.6,41.8,96.3,2986.91
1763910630418,71.52,0.00,1395,51.9,92.90,81.50,97.95,98.77,0.52,1.8612,4.8746,98.11,104.6,41.8,96.3,2986.91
1763910631418,70.84,0.07,1395,51.9,92.89,81.49,97.95,98.77,0.52,1.8662,4.8746,98.11,104.6,41.8,96.3,2986.91
1763910632418,70.83,0.10,1395,51.9,92.88,81.47,97.95,98.77,0.52,1.8712,4.8746,98.11,104.6,41.8,96.3,2986.91
1763910633418,70.65,0.16,1395,51.9,92.87,81.46,97.95,98.77,0.52,1.8762,4.8746,98.10,104.6,41.8,96.2,2986.91
1763910634418,70.40,0.24,1395,51.9,92.86,81.44,97.95,98.77,0.52,1.8812,4.8746,98.10,104.6,41.8,96.2,2986.91
1763910635418,70.55,0.23,1395,51.9,92.85,81.43,97.95,98.77,0.52,1.8862,4.8746,98.10,104.6,41.8,96.2,2986.91
1763910636418,69.87,0.36,1395,51.9,92.84,81.41,97.95,98.77,0.52,1.8912,4.8746,98.10,104.6,41.8,96.2,2986.91
1763910637418,70.17,0.38,1395,51.9,92.83,81.40,97.95,98.77,0.52,1.8962,4.8746,98.10,104.6,41.8,96.2,2986.91
1763910638418,69.76,0.52,1395,51.9,92.82,81.38,97.95,98.77,0.52,1.9012,4.8746,98.09,104.6,41.8,96.2,2986.91
1763910639418,69.41,0.43,1395,51.9,92.81,81.37,97.95,98.77,0.52,1.9062,4.8746,98.09,104.6,41.8,96.2,2986.92
1763910640418,70.02,0.41,1395,51.9,92.80,81.35,97.95,98.77,0.52,1.9112,4.8746,98.09,104.6,41.8,96.2,2986.92
1763910641418,69.65,0.29,1395,51.9,92.79,81.34,97.95,98.77,0.52,1.9162,4.8746,98.09,104.6,41.8,96.2,2986.92
1763910642418,70.31,0.24,1395,51.9,92.78,81.32,97.95,98.77,0.52,1.9212,4.8746,98.09,104.6,41.8,96.2,2986.92
