timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586445,99.30,6.63,1515,70.9,24.70,96.79,99.19,85.11,8.02,9.9147,6.2487,54.90,108.6,48.8,73.0,2067.35
1763910587445,99.02,6.60,1515,70.9,24.69,96.78,99.19,85.11,8.02,9.9197,6.2487,54.90,108.6,48.8,73.2,2067.35
1763910588445,99.42,6.57,1515,70.9,24.68,96.76,99.19,85.11,8.02,9.9247,6.2487,54.89,108.6,48.8,72.9,2067.35
1763910589445,98.76,6.55,1515,70.9,24.67,96.75,99.19,85.11,8.02,9.9297,6.2487,54.89,108.6,48.8,73.3,2067.35
1763910590445,98.49,6.40,1515,70.9,24.66,96.73,99.19,85.11,8.02,9.9347,6.2487,54.89,108.6,48.8,73.4,2067.35
1763910591445,98.21,6.51,1515,70.9,24.65,96.72,99.19,85.11,8.02,9.9397,6.2487,54.89,108.6,48.8,73.5,2067.35
1763910592445,98.54,6.53,1515,70.9,24.64,96.70,99.19,85.11,8.02,9.9447,6.2487,54.89,108.6,48.8,73.3,2067.35
1763910593445,98.72,6.51,1515,70.9,24.63,96.69,99.19,85.11,8.02,0.0000,6.2487,54.88,108.6,48.8,93.1,2067.35
1763910594445,98.42,6.50,1515,70.9,24.62,96.67,99.19,85.11,8.02,0.0050,6.2487,54.88,108.6,48.8,93.3,2067.35
1763910595445,98.98,6.56,1515,70.9,24.61,96.66,99.19,85.11,8.02,0.0100,6.2487,54.88,108.6,48.8,93.0,2067.35
1763910596445,99.38,6.70,1515,70.9,24.60,96.64,99.19,85.11,8.02,0.0150,6.2487,54.88,108.6,48.8,92.8,2067.35
1763910597445,98.92,6.79,1515,70.9,24.59,96.63,99.19,85.11,8.02,0.0200,6.2487,54.88,108.6,48.8,93.0,2067.35
1763910598445,99.60,6.68,1515,70.9,24.58,96.61,99.19,85.11,8.02,0.0250,6.2487,54.87,108.6,48.8,92.6,2067.35
1763910599445,99.08,6.72,1515,70.9,24.57,96.60,99.19,85.11,8.02,0.0300,6.2487,54.87,108.6,48.8,92.9,2067.35
1763910600445,99.05,6.86,1515,70.9,24.56,96.58,99.19,85.11,8.02,0.0350,6.2487,54.87,108.6,48.8,92.9,2067.35
1763910601445,99.17,6.96,1515,70.9,24.55,96.57,99.19,85.11,8.02,0.0400,6.2487,54.87,108.6,48.8,92.8,2067.35
1763910602445,98.65,7.05,1515,70.9,24.54,96.55,99.19,85.11,8.02,0.0450,6.2487,54.87,108.6,48.8,93.1,2067.36
1763910603445,99.09,6.91,1515,70.9,24.53,96.54,99.19,85.11,8.02,0.0500,6.2487,54.86,108.6,48.8,92.9,2067.36
1763910604445,99.10,6.92,1515,70.9,24.52,96.52,99.19,85.11,8.02,0.0550,6.2487,54.86,108.6,48.8,92.8,2067.36
1763910605445,99.32,6.88,1515,70.9,24.51,96.51,99.19,85.11,8.02,0.0600,6.2487,54.86,108.6,48.8,92.7,2067.36
1763910606445,98.69,6.84,1515,70.9,24.50,96.49,99.19,85.11,8.02,0.0650,6.2487,54.86,108.6,48.8,93.0,2067.36
1763910607445,98.51,6.73,1515,70.9,24.49,96.48,99.19,85.11,8.02,0.0700,6.2487,54.86,108.6,48.8,93.1,2067.36
1763910608445,97.86,6.75,1515,70.9,24.48,96.46,99.19,85.11,8.02,0.0750,6.2487,54.85,108.6,48.8,93.4,2067.36
1763910609445,98.42,6.62,1515,70.9,24.47,96.45,99.19,85.11,8.02,0.0800,6.2487,54.85,108.6,48.8,93.1,2067.36
1763910610445,97.96,6.57,1515,70.9,24.46,96.43,99.19,85.11,8.02,0.0850,6.2487,54.85,108.6,48.8,93.3,2067.36
1763910611445,97.32,6.57,1515,70.9,24.45,96.42,99.19,85.11,8.02,0.0900,6.2487,54.85,108.6,48.8,93.7,2067.36
1763910612445,98.01,6.67,1515,70.9,24.44,96.40,99.19,85.11,8.02,0.0950,6.2487,54.85,108.6,48.8,93.3,2067.36
1763910613445,97.49,6.77,1515,70.9,24.43,96.39,99.19,85.11,8.02,0.1000,6.2487,54.84,108.6,48.8,93.6,2067.36
1763910614445,97.69,6.84,1515,70.9,24.42,96.37,99.19,85.11,8.02,0.1050,6.2487,54.84,108.6,48.8,93.4,2067.36
1763910615445,98.35,6.81,1515,70.9,24.41,96.36,99.19,85.11,8.02,0.1100,6.2487,54.84,108.6,48.8,93.1,2067.36
1763910616445,98.36,6.77,1515,70.9,24.40,96.34,99.19,85.11,8.02,0.1150,6.2487,54.84,108.6,48.8,93.1,2067.36
1763910617445,98.17,6.78,1515,70.9,24.39,96.33,99.19,85.11,8.02,0.1200,6.2487,54.84,108.6,48.8,93.2,2067.36
1763910618445,98.27,6.81,1515,70.9,24.38,96.31,99.19,85.11,8.02,0.1250,6.2487,54.83,108.6,48.8,93.1,2067.36
1763910619445,98.73,6.67,1515,70.9,24.37,96.30,99.19,85.11,8.02,0.1300,6.2487,54.83,108.6,48.8,92.9,2067.36
