timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586499,86.02,4.79,1680,66.2,33.76,99.58,86.47,80.09,0.47,6.5646,3.2476,70.73,101.2,47.1,86.4,1001.37
1763910587499,85.35,4.84,1680,66.2,33.75,99.57,86.47,80.09,0.47,6.5696,3.2476,70.73,101.2,47.1,86.7,1001.37
1763910588499,85.81,4.90,1680,66.2,33.74,99.55,86.47,80.09,0.47,6.5746,3.2476,70.73,101.2,47.1,86.4,1001.37
1763910589499,85.26,4.81,1680,66.2,33.73,99.54,86.47,80.09,0.47,6.5796,3.2476,70.73,101.2,47.1,86.7,1001.37
1763910590499,85.09,4.68,1680,66.2,33.72,99.52,86.47,80.09,0.47,6.5846,3.2476,70.72,101.2,47.1,86.8,1001.37
1763910591499,84.93,4.53,1680,66.2,33.71,99.51,86.47,80.09,0.47,6.5896,3.2476,70.72,101.2,47.1,86.8,1001.37
1763910592499,84.55,4.56,1680,66.2,33.70,99.49,86.47,80.09,0.47,6.5946,3.2476,70.72,101.2,47.1,86.8,1001.37
1763910593499,85.00,4.70,1680,66.2,33.69,99.48,86.47,80.09,0.47,6.5996,3.2476,70.72,101.2,47.1,86.8,1001.37
1763910594499,84.82,4.65,1680,66.2,33.68,99.46,86.47,80.09,0.47,6.6046,3.2476,70.72,101.2,47.1,86.8,1001.37
1763910595499,84.22,4.76,1680,66.2,33.67,99.45,86.47,80.09,0.47,6.6096,3.2476,70.71,101.2,47.1,86.8,1001.37
1763910596499,83.64,4.73,1680,66.2,33.66,99.43,86.47,80.09,0.47,6.6146,3.2476,70.71,101.2,47.1,86.8,1001.37
1763910597499,84.20,4.68,1680,66.2,33.65,99.42,86.47,80.09,0.47,6.6196,3.2476,70.71,101.2,47.1,86.8,1001.37
1763910598499,84.09,4.62,1680,66.2,33.64,99.40,86.47,80.09,0.47,6.6246,3.2476,70.71,101.2,47.1,86.8,1001.37
1763910599499,83.95,4.71,1680,66.2,33.63,99.39,86.47,80.09,0.47,6.6296,3.2476,70.71,101.2,47.1,86.7,1001.37
1763910600499,84.46,4.83,1680,66.2,33.62,99.37,86.47,80.09,0.47,6.6346,3.2476,70.70,101.2,47.1,86.7,1001.37
1763910601499,83.89,4.80,1680,66.2,33.61,99.36,86.47,80.09,0.47,6.6396,3.2476,70.70,101.2,47.1,86.7,1001.37
1763910602499,83.25,4.88,1680,66.2,33.60,99.34,86.47,80.09,0.47,6.6446,3.2476,70.70,101.2,47.1,86.7,1001.37
1763910603499,83.47,4.88,1680,66.2,33.59,99.33,86.47,80.09,0.47,6.6496,3.2476,70.70,101.2,47.1,86.7,1001.37
1763910604499,82.83,4.75,1680,66.2,33.58,99.31,86.47,80.09,0.47,6.6546,3.2476,70.70,101.2,47.1,86.7,1001.37
1763910605499,83.54,4.67,1680,66.2,33.57,99.30,86.47,80.09,0.47,6.6596,3.2476,70.69,101.2,47.1,86.7,1001.37
1763910606499,84.27,4.70,1680,66.2,33.56,99.28,86.47,80.09,0.47,6.6646,3.2476,70.69,101.2,47.1,86.7,1001.37
1763910607499,84.48,4.83,1680,66.2,33.55,99.27,86.47,80.09,0.47,6.6696,3.2476,70.69,101.2,47.1,86.7,1001.37
1763910608499,84.04,4.95,1680,66.2,33.54,99.25,86.47,80.09,0.47,6.6746,3.2476,70.69,101.2,47.1,86.7,1001.37
1763910609499,84.33,4.95,1680,66.2,33.53,99.24,86.47,80.09,0.47,6.6796,3.2476,70.69,101.2,47.1,86.6,1001.37
1763910610499,83.96,4.89,1680,66.2,33.52,99.22,86.47,80.09,0.47,6.6846,3.2476,70.68,101.2,47.1,86.6,1001.37
1763910611499,83.54,5.03,1680,66.2,33.51,99.21,86.47,80.09,0.47,6.6896,3.2476,70.68,101.2,47.1,86.6,1001.38
1763910612499,83.25,5.01,1680,66.2,33.50,99.19,86.47,80.09,0.47,6.6946,3.2476,70.68,101.2,47.1,86.6,1001.38
1763910613499,83.47,4.89,1680,66.2,33.49,99.18,86.47,80.09,0.47,6.6996,3.2476,70.68,101.2,47.1,86.6,1001.38
1763910614499,83.23,5.00,1680,66.2,33.48,99.16,86.47,80.09,0.47,6.7046,3.2476,70.68,101.2,47.1,86.6,1001.38
1763910615499,82.56,5.12,1680,66.2,33.47,99.15,86.47,80.09,0.47,6.7096,3.2476,70.67,101.2,47.1,86.6,1001.38
1763910616499,83.11,5.04,1680,66.2,33.46,99.13,86.47,80.09,0.47,6.7146,3.2476,70.67,101.2,47.1,86.6,1001.38
1763910617499,82.55,5.07,1680,66.2,33.45,99.12,86.47,80.09,0.47,6.7196,3.2476,70.67,101.2,47.1,86.6,1001.38
1763910618499,82.45,5.20,1680,66.2,33.44,99.10,86.47,80.09,0.47,6.7246,3.2476,70.67,101.2,47.1,86.6,1001.38
1763910619499,82.69,5.05,1680,66.2,33.43,99.09,86.47,80.09,0.47,6.7296,3.2476,70.67,101.2,47.1,86.5,1001.38
1763910620499,82.05,5.14,1680,66.2,33.42,99.07,86.47,80.09,0.47,6.7346,3.2476,70.66,101.2,47.1,86.5,1001.38
1763910621499,82.40,5.01,1680,66.2,33.41,99.06,86.47,80.09,0.47,6.7396,3.2476,70.66,101.2,47.1,86.5,1001.38
1763910622499,81.92,4.92,1680,66.2,33.40,99.04,86.47,80.09,0.47,6.7446,3.2476,70.66,101.2,47.1,86.5,1001.38
1763910623499,81.57,5.01,1680,66.2,33.39,99.03,86.47,80.09,0.47,6.7496,3.2476,70.66,101.2,47.1,86.5,1001.38
1763910624499,82.14,5.10,1680,66.2,33.38,99.01,86.47,80.09,0.47,6.7546,3.2476,70.66,101.2,47.1,86.5,1001.38
1763910625499,82.04,5.13,1680,66.2,33.37,99.00,86.47,80.09,0.47,6.7596,3.2476,70.65,101.2,47.1,86.5,1001.38
1763910626499,81.32,5.14,1680,66.2,33.36,98.98,86.47,80.09,0.47,6.7646,3.2476,70.65,101.2,47.1,86.5,1001.38
1763910627499,81.39,5.03,1680,66.2,33.35,98.97,86.47,80.09,0.47,6.7696,3.2476,70.65,101.2,47.1,86.5,1001.38
1763910628499,82.01,4.95,1680,66.2,33.34,98.95,86.47,80.09,0.47,6.7746,3.2476,70.65,101.2,47.1,86.5,1001.38
1763910629499,81.99,4.92,1680,66.2,33.33,98.94,86.47,80.09,0.47,6.7796,3.2476,70.65,101.2,47.1,86.4,1001.38
1763910630499,81.69,5.00,1680,66.2,33.32,98.92,86.47,80.09,0.47,6.7846,3.2476,70.64,101.2,47.1,86.4,1001.38
1763910631499,82.39,5.05,1680,66.2,33.31,98.91,86.47,80.09,0.47,6.7896,3.2476,70.64,101.2,47.1,86.4,1001.38
