timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586484,67.71,1.16,1358,63.7,85.89,96.10,95.49,81.36,5.19,0.6959,4.3446,99.22,109.7,40.6,98.6,1117.54
1763910587484,67.91,1.21,1358,63.7,85.88,96.09,95.49,81.36,5.19,0.7009,4.3446,99.22,109.7,40.6,98.6,1117.54
1763910588484,67.97,1.33,1358,63.7,85.87,96.07,95.49,81.36,5.19,0.7059,4.3446,99.22,109.7,40.6,98.6,1117.54
1763910589484,67.70,1.47,1358,63.7,85.86,96.06,95.49,81.36,5.19,0.7109,4.3446,99.22,109.7,40.6,98.6,1117.54
1763910590484,67.57,1.32,1358,63.7,85.85,96.04,95.49,81.36,5.19,0.7159,4.3446,99.22,109.7,40.6,98.6,1117.54
1763910591484,68.24,1.24,1358,63.7,85.84,96.03,95.49,81.36,5.19,0.7209,4.3446,99.21,109.7,40.6,98.6,1117.54
1763910592484,68.58,1.24,1358,63.7,85.83,96.01,95.49,81.36,5.19,0.7259,4.3446,99.21,109.7,40.6,98.5,1117.54
1763910593484,68.93,1.11,1358,63.7,85.82,96.00,95.49,81.36,5.19,0.7309,4.3446,99.21,109.7,40.6,98.5,1117.54
1763910594484,69.18,1.09,1358,63.7,85.81,95.98,95.49,81.36,5.19,0.7359,4.3446,99.21,109.7,40.6,98.5,1117.54
1763910595484,69.81,1.22,1358,63.7,85.80,95.97,95.49,81.36,5.19,0.7409,4.3446,99.21,109.7,40.6,98.5,1117.54
1763910596484,69.65,1.17,1358,63.7,85.79,95.95,95.49,81.36,5.19,0.7459,4.3446,99.20,109.7,40.6,98.5,1117.54
1763910597484,69.32,1.29,1358,63.7,85.78,95.94,95.49,81.36,5.19,0.7509,4.3446,99.20,109.7,40.6,98.5,1117.54
1763910598484,68.90,1.25,1358,63.7,85.77,95.92,95.49,81.36,5.19,0.7559,4.3446,99.20,109.7,40.6,98.5,1117.54
1763910599484,68.21,1.14,1358,63.7,85.76,95.91,95.49,81.36,5.19,0.7609,4.3446,99.20,109.7,40.6,98.5,1117.54
1763910600484,67.49,1.09,1358,63.7,85.75,95.89,95.49,81.36,5.19,0.7659,4.3446,99.20,109.7,40.6,98.5,1117.54
1763910601484,66.78,1.05,1358,63.7,85.74,95.88,95.49,81.36,5.19,0.7709,4.3446,99.19,109.7,40.6,98.5,1117.54
1763910602484,67.35,1.14,1358,63.7,85.73,95.86,95.49,81.36,5.19,0.7759,4.3446,99.19,109.7,40.6,98.4,1117.54
1763910603484,67.16,0.99,1358,63.7,85.72,95.85,95.49,81.36,5.19,0.7809,4.3446,99.19,109.7,40.6,98.4,1117.54
1763910604484,67.32,1.00,1358,63.7,85.71,95.83,95.49,81.36,5.19,0.7859,4.3446,99.19,109.7,40.6,98.4,1117.55
1763910605484,67.23,1.13,1358,63.7,85.70,95.82,95.49,81.36,5.19,0.7909,4.3446,99.19,109.7,40.6,98.4,1117.55
1763910606484,66.53,1.19,1358,63.7,85.69,95.80,95.49,81.36,5.19,0.7959,4.3446,99.18,109.7,40.6,98.4,1117.55
1763910607484,66.24,1.08,1358,63.7,85.68,95.79,95.49,81.36,5.19,0.8009,4.3446,99.18,109.7,40.6,98.4,1117.55
1763910608484,66.10,1.01,1358,63.7,85.67,95.77,95.49,81.36,5.19,0.8059,4.3446,99.18,109.7,40.6,98.4,1117.55
1763910609484,65.94,1.04,1358,63.7,85.66,95.76,95.49,81.36,5.19,0.8109,4.3446,99.18,109.7,40.6,98.4,1117.55
1763910610484,65.40,0.90,1358,63.7,85.65,95.74,95.49,81.36,5.19,0.8159,4.3446,99.18,109.7,40.6,98.4,1117.55
1763910611484,65.57,0.82,1358,63.7,85.64,95.73,95.49,81.36,5.19,0.8209,4.3446,99.17,109.7,40.6,98.4,1117.55
1763910612484,65.39,0.95,1358,63.7,85.63,95.71,95.49,81.36,5.19,0.8259,4.3446,99.17,109.7,40.6,98.3,1117.55
1763910613484,65.91,0.96,1358,63.7,85.62,95.70,95.49,81.36,5.19,0.8309,4.3446,99.17,109.7,40.6,98.3,1117.55
1763910614484,66.17,1.04,1358,63.7,85.61,95.68,95.49,81.36,5.19,0.8359,4.3446,99.17,109.7,40.6,98.3,1117.55
1763910615484,65.48,1.05,1358,63.7,85.60,95.67,95.49,81.36,5.19,0.8409,4.3446,99.17,109.7,40.6,98.3,1117.55
1763910616484,64.98,0.94,1358,63.7,85.59,95.65,95.49,81.36,5.19,0.8459,4.3446,99.16,109.7,40.6,98.3,1117.55
1763910617484,64.27,1.02,1358,63.7,85.58,95.64,95.49,81.36,5.19,0.8509,4.3446,99.16,109.7,40.6,98.3,1117.55
1763910618484,64.42,1.00,1358,63.7,85.57,95.62,95.49,81.36,5.19,0.8559,4.3446,99.16,109.7,40.6,98.3,1117.55
1763910619484,63.85,0.94,1358,63.7,85.56,95.61,95.49,81.36,5.19,0.8609,4.3446,99.16,109.7,40.6,98.3,1117.55
1763910620484,63.87,0.82,1358,63.7,85.55,95.59,95.49,81.36,5.19,0.8659,4.3446,99.16,109.7,40.6,98.3,1117.55
1763910621484,64.20,0.81,1358,63.7,85.54,95.58,95.49,81.36,5.19,0.8709,4.3446,99.15,109.7,40.6,98.3,1117.55
1763910622484,63.70,0.79,1358,63.7,85.53,95.56,95.49,81.36,5.19,0.8759,4.3446,99.15,109.7,40.6,98.2,1117.55
1763910623484,64.41,0.80,1358,63.7,85.52,95.55,95.49,81.36,5.19,0.8809,4.3446,99.15,109.7,40.6,98.2,1117.55
1763910624484,64.57,0.76,1358,63.7,85.51,95.53,95.49,81.36,5.19,0.8859,4.3446,99.15,109.7,40.6,98.2,1117.55
1763910625484,63.97,0.72,1358,63.7,85.50,95.52,95.49,81.36,5.19,0.8909,4.3446,99.15,109.7,40.6,98.2,1117.55
1763910626484,63.92,0.86,1358,63.7,85.49,95.50,95.49,81.36,5.19,0.8959,4.3446,99.14,109.7,40.6,98.2,1117.55
1763910627484,64.05,0.76,1358,63.7,85.48,95.49,95.49,81.36,5.19,0.9009,4.3446,99.14,109.7,40.6,98.2,1117.55
1763910628484,64.23,0.83,1358,63.7,85.47,95.47,95.49,81.36,5.19,0.9059,4.3446,99.14,109.7,40.6,98.2,1117.55
1763910629484,64.54,0.75,1358,63.7,85.46,95.46,95.49,81.36,5.19,0.9109,4.3446,99.14,109.7,40.6,98.2,1117.55
1763910630484,64.79,0.74,1358,63.7,85.45,95.44,95.49,81.36,5.19,0.9159,4.3446,99.14,109.7,40.6,98.2,1117.55
1763910631484,65.30,0.62,1358,63.7,85.44,95.43,95.49,81.36,5.19,0.9209,4.3446,99.13,109.7,40.6,98.2,1117.55
1763910632484,65.10,0.61,1358,63.7,85.43,95.41,95.49,81.36,5.19,0.9259,4.3446,99.13,109.7,40.6,98.1,1117.55
1763910633484,65.17,0.48,1358,63.7,85.42,95.40,95.49,81.36,5.19,0.9309,4.3446,99.13,109.7,40.6,98.1,1117.55
1763910634484,64.72,0.53,1358,63.7,85.41,95.38,95.49,81.36,5.19,0.9359,4.3446,99.13,109.7,40.6,98.1,1117.55
1763910635484,64.94,0.44,1358,63.7,85.40,95.37,95.49,81.36,5.19,0.9409,4.3446,99.13,109.7,40.6,98.1,1117.55
1763910636484,64.48,0.30,1358,63.7,85.39,95.35,95.49,81.36,5.19,0.9459,4.3446,99.12,109.7,40.6,98.1,1117.55
1763910637484,64.16,0.32,1358,63.7,85.38,95.34,95.49,81.36,5.19,0.9509,4.3446,99.12,109.7,40.6,98.1,1117.55
1763910638484,64.53,0.28,1358,63.7,85.37,95.32,95.49,81.36,5.19,0.9559,4.3446,99.12,109.7,40.6,98.1,1117.55
1763910639484,65.01,0.18,1358,63.7,85.36,95.31,95.49,81.36,5.19,0.9609,4.3446,99.12,109.7,40.6,98.1,1117.55
1763910640484,65.73,0.17,1358,63.7,85.35,95.29,95.49,81.36,5.19,0.9659,4.3446,99.12,109.7,40.6,98.1,1117.56
1763910641484,66.19,0.31,1358,63.7,85.34,95.28,95.49,81.36,5.19,0.9709,4.3446,99.11,109.7,40.6,98.1,1117.56
1763910642484,66.69,0.33,1358,63.7,85.33,95.26,95.49,81.36,5.19,0.9759,4.3446,99.11,109.7,40.6,98.0,1117.56
1763910643484,66.86,0.33,1358,63.7,85.32,95.25,95.49,81.36,5.19,0.9809,4.3446,99.11,109.7,40.6,98.0,1117.56
1763910644484,67.44,0.29,1358,63.7,85.31,95.23,95.49,81.36,5.19,0.9859,4.3446,99.11,109.7,40.6,98.0,1117.56
1763910645484,67.36,0.32,1358,63.7,85.30,95.22,95.49,81.36,5.19,0.9909,4.3446,99.11,109.7,40.6,98.0,1117.56
1763910646484,67.19,0.33,1358,63.7,85.29,95.20,95.49,81.36,5.19,0.9959,4.3446,99.10,109.7,40.6,98.0,1117.56
1763910647484,66.97,0.31,1358,63.7,85.28,95.19,95.49,81.36,5.19,1.0009,4.3446,99.10,109.7,40.6,98.0,1117.56
1763910648484,67.09,0.37,1358,63.7,85.27,95.17,95.49,81.36,5.19,1.0059,4.3446,99.10,109.7,40.6,98.0,1117.56
1763910649484,67.42,0.25,1358,63.7,85.26,95.16,95.49,81.36,5.19,1.0109,4.3446,99.10,109.7,40.6,98.0,1117.56
1763910650484,67.23,0.20,1358,63.7,85.25,95.14,95.49,81.36,5.19,1.0159,4.3446,99.10,109.7,40.6,98.0,1117.56
1763910651484,66.73,0.23,1358,63.7,85.24,95.13,95.49,81.36,5.19,1.0209,4.3446,99.09,109.7,40.6,98.0,1117.56
1763910652484,67.12,0.25,1358,63.7,85.23,95.11,95.49,81.36,5.19,1.0259,4.3446,99.09,109.7,40.6,97.9,1117.56
1763910653484,67.13,0.24,1358,63.7,85.22,95.10,95.49,81.36,5.19,1.0309,4.3446,99.09,109.7,40.6,97.9,1117.56
