timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586412,67.41,0.81,1205,60.0,99.96,97.51,95.16,97.77,17.17,1.1558,3.8804,95.43,106.8,47.5,97.7,2554.85
1763910587412,67.81,0.81,1205,60.0,99.95,97.49,95.16,97.77,17.17,1.1608,3.8804,95.43,106.8,47.5,97.7,2554.85
1763910588412,67.39,0.90,1205,60.0,99.94,97.48,95.16,97.77,17.17,1.1658,3.8804,95.42,106.8,47.5,97.7,2554.85
1763910589412,67.35,0.99,1205,60.0,99.93,97.46,95.16,97.77,17.17,1.1708,3.8804,95.42,106.8,47.5,97.7,2554.85
1763910590412,66.56,0.92,1205,60.0,99.92,97.45,95.16,97.77,17.17,1.1758,3.8804,95.42,106.8,47.5,97.6,2554.85
1763910591412,66.78,0.91,1205,60.0,99.91,97.43,95.16,97.77,17.17,1.1808,3.8804,95.42,106.8,47.5,97.6,2554.85
1763910592412,66.18,0.93,1205,60.0,99.90,97.42,95.16,97.77,17.17,1.1858,3.8804,95.42,106.8,47.5,97.6,2554.86
1763910593412,66.54,0.93,1205,60.0,99.89,97.40,95.16,97.77,17.17,1.1908,3.8804,95.41,106.8,47.5,97.6,2554.86
1763910594412,66.56,1.01,1205,60.0,99.88,97.39,95.16,97.77,17.17,1.1958,3.8804,95.41,106.8,47.5,97.6,2554.86
1763910595412,67.12,1.00,1205,60.0,99.87,97.37,95.16,97.77,17.17,1.2008,3.8804,95.41,106.8,47.5,97.6,2554.86
1763910596412,66.76,1.05,1205,60.0,99.86,97.36,95.16,97.77,17.17,1.2058,3.8804,95.41,106.8,47.5,97.6,2554.86
1763910597412,66.70,1.19,1205,60.0,99.85,97.34,95.16,97.77,17.17,1.2108,3.8804,95.41,106.8,47.5,97.6,2554.86
1763910598412,67.22,1.21,1205,60.0,99.84,97.33,95.16,97.77,17.17,1.2158,3.8804,95.40,106.8,47.5,97.6,2554.86
1763910599412,67.20,1.12,1205,60.0,99.83,97.31,95.16,97.77,17.17,1.2208,3.8804,95.40,106.8,47.5,97.6,2554.86
