timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586425,107.50,8.92,1229,65.8,13.01,98.35,88.86,86.67,13.68,8.7967,5.9618,46.59,105.5,47.8,71.2,2440.56
1763910587425,107.60,8.88,1229,65.8,13.00,98.33,88.86,86.67,13.68,8.8017,5.9618,46.59,105.5,47.8,71.1,2440.56
1763910588425,108.06,8.75,1229,65.8,12.99,98.32,88.86,86.67,13.68,8.8067,5.9618,46.59,105.5,47.8,70.9,2440.56
1763910589425,108.44,8.63,1229,65.8,12.98,98.30,88.86,86.67,13.68,8.8117,5.9618,46.59,105.5,47.8,70.7,2440.56
1763910590425,108.98,8.58,1229,65.8,12.97,98.29,88.86,86.67,13.68,8.8167,5.9618,46.58,105.5,47.8,70.4,2440.56
1763910591425,109.64,8.72,1229,65.8,12.96,98.27,88.86,86.67,13.68,8.8217,5.9618,46.58,105.5,47.8,70.0,2440.56
1763910592425,109.05,8.80,1229,65.8,12.95,98.26,88.86,86.67,13.68,8.8267,5.9618,46.58,105.5,47.8,70.3,2440.56
1763910593425,109.56,8.91,1229,65.8,12.94,98.24,88.86,86.67,13.68,8.8317,5.9618,46.58,105.5,47.8,70.1,2440.56
1763910594425,110.24,8.97,1229,65.8,12.93,98.23,88.86,86.67,13.68,8.8367,5.9618,46.58,105.5,47.8,69.7,2440.57
1763910595425,110.71,8.96,1229,65.8,12.92,98.21,88.86,86.67,13.68,8.8417,5.9618,46.57,105.5,47.8,69.5,2440.57
1763910596425,111.26,9.06,1229,65.8,12.91,98.20,88.86,86.67,13.68,8.8467,5.9618,46.57,105.5,47.8,69.2,2440.57
1763910597425,110.67,9.01,1229,65.8,12.90,98.18,88.86,86.67,13.68,8.8517,5.9618,46.57,105.5,47.8,69.5,2440.57
1763910598425,110.97,9.08,1229,65.8,12.89,98.17,88.86,86.67,13.68,8.8567,5.9618,46.57,105.5,47.8,69.3,2440.57
1763910599425,111.54,9.18,1229,65.8,12.88,98.15,88.86,86.67,13.68,8.8617,5.9618,46.57,105.5,47.8,69.0,2440.57
1763910600425,111.59,9.15,1229,65.8,12.87,98.14,88.86,86.67,13.68,8.8667,5.9618,46.56,105.5,47.8,69.0,2440.57
1763910601425,110.86,9.23,1229,65.8,12.86,98.12,88.86,86.67,13.68,8.8717,5.9618,46.56,105.5,47.8,69.3,2440.57
1763910602425,110.65,9.10,1229,65.8,12.85,98.11,88.86,86.67,13.68,8.8767,5.9618,46.56,105.5,47.8,69.4,2440.57
1763910603425,111.30,9.13,1229,65.8,12.84,98.09,88.86,86.67,13.68,8.8817,5.9618,46.56,105.5,47.8,69.1,2440.57
1763910604425,111.13,9.27,1229,65.8,12.83,98.08,88.86,86.67,13.68,8.8867,5.9618,46.56,105.5,47.8,69.2,2440.57
1763910605425,111.62,9.40,1229,65.8,12.82,98.06,88.86,86.67,13.68,8.8917,5.9618,46.55,105.5,47.8,68.9,2440.57
1763910606425,111.47,9.37,1229,65.8,12.81,98.05,88.86,86.67,13.68,8.8967,5.9618,46.55,105.5,47.8,69.0,2440.57
1763910607425,111.37,9.50,1229,65.8,12.80,98.03,88.86,86.67,13.68,8.9017,5.9618,46.55,105.5,47.8,69.0,2440.57
1763910608425,110.63,9.64,1229,65.8,12.79,98.02,88.86,86.67,13.68,8.9067,5.9618,46.55,105.5,47.8,69.4,2440.57
1763910609425,110.19,9.68,1229,65.8,12.78,98.00,88.86,86.67,13.68,8.9117,5.9618,46.55,105.5,47.8,69.6,2440.57
1763910610425,110.15,9.66,1229,65.8,12.77,97.99,88.86,86.67,13.68,8.9167,5.9618,46.54,105.5,47.8,69.6,2440.57
1763910611425,110.58,9.73,1229,65.8,12.76,97.97,88.86,86.67,13.68,8.9217,5.9618,46.54,105.5,47.8,69.4,2440.57
1763910612425,110.87,9.86,1229,65.8,12.75,97.96,88.86,86.67,13.68,8.9267,5.9618,46.54,105.5,47.8,69.2,2440.57
1763910613425,111.07,9.76,1229,65.8,12.74,97.94,88.86,86.67,13.68,8.9317,5.9618,46.54,105.5,47.8,69.1,2440.57
1763910614425,111.00,9.75,1229,65.8,12.73,97.93,88.86,86.67,13.68,8.9367,5.9618,46.54,105.5,47.8,69.1,2440.57
1763910615425,110.97,9.61,1229,65.8,12.72,97.91,88.86,86.67,13.68,8.9417,5.9618,46.53,105.5,47.8,69.1,2440.57
1763910616425,110.84,9.61,1229,65.8,12.71,97.90,88.86,86.67,13.68,8.9467,5.9618,46.53,105.5,47.8,69.2,2440.57
1763910617425,110.90,9.48,1229,65.8,12.70,97.88,88.86,86.67,13.68,8.9517,5.9618,46.53,105.5,47.8,69.1,2440.57
1763910618425,110.33,9.38,1229,65.8,12.69,97.87,88.86,86.67,13.68,8.9567,5.9618,46.53,105.5,47.8,69.4,2440.57
1763910619425,110.62,9.42,1229,65.8,12.68,97.85,88.86,86.67,13.68,8.9617,5.9618,46.53,105.5,47.8,69.3,2440.57
1763910620425,111.21,9.44,1229,65.8,12.67,97.84,88.86,86.67,13.68,8.9667,5.9618,46.52,105.5,47.8,69.0,2440.57
1763910621425,111.66,9.50,1229,65.8,12.66,97.82,88.86,86.67,13.68,8.9717,5.9618,46.52,105.5,47.8,68.7,2440.57
1763910622425,111.80,9.54,1229,65.8,12.65,97.81,88.86,86.67,13.68,8.9767,5.9618,46.52,105.5,47.8,68.6,2440.57
1763910623425,111.61,9.65,1229,65.8,12.64,97.79,88.86,86.67,13.68,8.9817,5.9618,46.52,105.5,47.8,68.7,2440.57
