timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586543,68.59,1.45,1207,79.4,91.37,91.59,98.08,89.55,15.27,1.6222,7.8645,95.56,108.4,45.5,96.8,1416.73
1763910587543,68.83,1.31,1207,79.4,91.36,91.57,98.08,89.55,15.27,1.6272,7.8645,95.56,108.4,45.5,96.7,1416.73
1763910588543,68.71,1.24,1207,79.4,91.35,91.56,98.08,89.55,15.27,1.6322,7.8645,95.56,108.4,45.5,96.7,1416.73
1763910589543,69.26,1.13,1207,79.4,91.34,91.54,98.08,89.55,15.27,1.6372,7.8645,95.56,108.4,45.5,96.7,1416.73
1763910590543,68.94,1.09,1207,79.4,91.33,91.53,98.08,89.55,15.27,1.6422,7.8645,95.56,108.4,45.5,96.7,1416.73
1763910591543,68.90,1.11,1207,79.4,91.32,91.51,98.08,89.55,15.27,1.6472,7.8645,95.55,108.4,45.5,96.7,1416.73
1763910592543,68.57,1.01,1207,79.4,91.31,91.50,98.08,89.55,15.27,1.6522,7.8645,95.55,108.4,45.5,96.7,1416.73
1763910593543,68.03,1.09,1207,79.4,91.30,91.48,98.08,89.55,15.27,1.6572,7.8645,95.55,108.4,45.5,96.7,1416.73
1763910594543,67.54,0.96,1207,79.4,91.29,91.47,98.08,89.55,15.27,1.6622,7.8645,95.55,108.4,45.5,96.7,1416.73
1763910595543,67.97,1.07,1207,79.4,91.28,91.45,98.08,89.55,15.27,1.6672,7.8645,95.55,108.4,45.5,96.7,1416.73
1763910596543,68.47,1.21,1207,79.4,91.27,91.44,98.08,89.55,15.27,1.6722,7.8645,95.54,108.4,45.5,96.7,1416.73
1763910597543,68.55,1.09,1207,79.4,91.26,91.42,98.08,89.55,15.27,1.6772,7.8645,95.54,108.4,45.5,96.6,1416.73
1763910598543,69.16,0.95,1207,79.4,91.25,91.41,98.08,89.55,15.27,1.6822,7.8645,95.54,108.4,45.5,96.6,1416.73
1763910599543,68.76,0.81,1207,79.4,91.24,91.39,98.08,89.55,15.27,1.6872,7.8645,95.54,108.4,45.5,96.6,1416.73
