timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586470,65.83,0.83,1563,57.6,97.47,94.55,99.30,97.65,12.61,1.4187,8.1220,97.46,106.9,44.1,97.2,1854.94
1763910587470,66.53,0.87,1563,57.6,97.46,94.54,99.30,97.65,12.61,1.4237,8.1220,97.46,106.9,44.1,97.2,1854.94
1763910588470,66.09,1.01,1563,57.6,97.45,94.52,99.30,97.65,12.61,1.4287,8.1220,97.45,106.9,44.1,97.1,1854.94
1763910589470,65.55,0.94,1563,57.6,97.44,94.51,99.30,97.65,12.61,1.4337,8.1220,97.45,106.9,44.1,97.1,1854.94
1763910590470,66.29,0.94,1563,57.6,97.43,94.49,99.30,97.65,12.61,1.4387,8.1220,97.45,106.9,44.1,97.1,1854.94
1763910591470,66.41,0.85,1563,57.6,97.42,94.48,99.30,97.65,12.61,1.4437,8.1220,97.45,106.9,44.1,97.1,1854.94
1763910592470,66.23,0.90,1563,57.6,97.41,94.46,99.30,97.65,12.61,1.4487,8.1220,97.45,106.9,44.1,97.1,1854.94
1763910593470,65.82,0.92,1563,57.6,97.40,94.45,99.30,97.65,12.61,1.4537,8.1220,97.44,106.9,44.1,97.1,1854.94
1763910594470,65.91,0.99,1563,57.6,97.39,94.43,99.30,97.65,12.61,1.4587,8.1220,97.44,106.9,44.1,97.1,1854.94
1763910595470,66.56,0.91,1563,57.6,97.38,94.42,99.30,97.65,12.61,1.4637,8.1220,97.44,106.9,44.1,97.1,1854.95
1763910596470,66.70,0.76,1563,57.6,97.37,94.40,99.30,97.65,12.61,1.4687,8.1220,97.44,106.9,44.1,97.1,1854.95
1763910597470,66.65,0.68,1563,57.6,97.36,94.39,99.30,97.65,12.61,1.4737,8.1220,97.44,106.9,44.1,97.1,1854.95
1763910598470,66.93,0.62,1563,57.6,97.35,94.37,99.30,97.65,12.61,1.4787,8.1220,97.43,106.9,44.1,97.0,1854.95
1763910599470,66.29,0.56,1563,57.6,97.34,94.36,99.30,97.65,12.61,1.4837,8.1220,97.43,106.9,44.1,97.0,1854.95
1763910600470,65.90,0.58,1563,57.6,97.33,94.34,99.30,97.65,12.61,1.4887,8.1220,97.43,106.9,44.1,97.0,1854.95
1763910601470,65.34,0.59,1563,57.6,97.32,94.33,99.30,97.65,12.61,1.4937,8.1220,97.43,106.9,44.1,97.0,1854.95
1763910602470,65.47,0.55,1563,57.6,97.31,94.31,99.30,97.65,12.61,1.4987,8.1220,97.43,106.9,44.1,97.0,1854.95
1763910603470,65.69,0.50,1563,57.6,97.30,94.30,99.30,97.65,12.61,1.5037,8.1220,97.42,106.9,44.1,97.0,1854.95
1763910604470,66.41,0.48,1563,57.6,97.29,94.28,99.30,97.65,12.61,1.5087,8.1220,97.42,106.9,44.1,97.0,1854.95
1763910605470,67.02,0.47,1563,57.6,97.28,94.27,99.30,97.65,12.61,1.5137,8.1220,97.42,106.9,44.1,97.0,1854.95
1763910606470,66.81,0.56,1563,57.6,97.27,94.25,99.30,97.65,12.61,1.5187,8.1220,97.42,106.9,44.1,97.0,1854.95
1763910607470,66.60,0.64,1563,57.6,97.26,94.24,99.30,97.65,12.61,1.5237,8.1220,97.42,106.9,44.1,97.0,1854.95
1763910608470,66.88,0.59,1563,57.6,97.25,94.22,99.30,97.65,12.61,1.5287,8.1220,97.41,106.9,44.1,96.9,1854.95
1763910609470,66.93,0.47,1563,57.6,97.24,94.21,99.30,97.65,12.61,1.5337,8.1220,97.41,106.9,44.1,96.9,1854.95
1763910610470,67.12,0.56,1563,57.6,97.23,94.19,99.30,97.65,12.61,1.5387,8.1220,97.41,106.9,44.1,96.9,1854.95
1763910611470,67.08,0.49,1563,57.6,97.22,94.18,99.30,97.65,12.61,1.5437,8.1220,97.41,106.9,44.1,96.9,1854.95
1763910612470,66.89,0.37,1563,57.6,97.21,94.16,99.30,97.65,12.61,1.5487,8.1220,97.41,106.9,44.1,96.9,1854.95
1763910613470,66.72,0.47,1563,57.6,97.20,94.15,99.30,97.65,12.61,1.5537,8.1220,97.40,106.9,44.1,96.9,1854.95
1763910614470,66.37,0.54,1563,57.6,97.19,94.13,99.30,97.65,12.61,1.5587,8.1220,97.40,106.9,44.1,96.9,1854.95
1763910615470,67.04,0.43,1563,57.6,97.18,94.12,99.30,97.65,12.61,1.5637,8.1220,97.40,106.9,44.1,96.9,1854.95
1763910616470,67.47,0.31,1563,57.6,97.17,94.10,99.30,97.65,12.61,1.5687,8.1220,97.40,106.9,44.1,96.9,1854.95
1763910617470,67.95,0.22,1563,57.6,97.16,94.09,99.30,97.65,12.61,1.5737,8.1220,97.40,106.9,44.1,96.9,1854.95
1763910618470,68.41,0.20,1563,57.6,97.15,94.07,99.30,97.65,12.61,1.5787,8.1220,97.39,106.9,44.1,96.8,1854.95
1763910619470,68.89,0.26,1563,57.6,97.14,94.06,99.30,97.65,12.61,1.5837,8.1220,97.39,106.9,44.1,96.8,1854.95
1763910620470,68.19,0.22,1563,57.6,97.13,94.04,99.30,97.65,12.61,1.5887,8.1220,97.39,106.9,44.1,96.8,1854.95
1763910621470,68.35,0.16,1563,57.6,97.12,94.03,99.30,97.65,12.61,1.5937,8.1220,97.39,106.9,44.1,96.8,1854.95
1763910622470,68.27,0.12,1563,57.6,97.11,94.01,99.30,97.65,12.61,1.5987,8.1220,97.39,106.9,44.1,96.8,1854.95
1763910623470,67.94,0.07,1563,57.6,97.10,94.00,99.30,97.65,12.61,1.6037,8.1220,97.38,106.9,44.1,96.8,1854.95
1763910624470,68.53,0.01,1563,57.6,97.09,93.98,99.30,97.65,12.61,1.6087,8.1220,97.38,106.9,44.1,96.8,1854.95
1763910625470,68.35,0.11,1563,57.6,97.08,93.97,99.30,97.65,12.61,1.6137,8.1220,97.38,106.9,44.1,96.8,1854.95
1763910626470,68.34,0.19,1563,57.6,97.07,93.95,99.30,97.65,12.61,1.6187,8.1220,97.38,106.9,44.1,96.8,1854.95
1763910627470,67.64,0.23,1563,57.6,97.06,93.94,99.30,97.65,12.61,1.6237,8.1220,97.38,106.9,44.1,96.8,1854.95
1763910628470,67.09,0.17,1563,57.6,97.05,93.92,99.30,97.65,12.61,1.6287,8.1220,97.37,106.9,44.1,96.7,1854.95
1763910629470,67.74,0.04,1563,57.6,97.04,93.91,99.30,97.65,12.61,1.6337,8.1220,97.37,106.9,44.1,96.7,1854.95
1763910630470,68.34,0.04,1563,57.6,97.03,93.89,99.30,97.65,12.61,1.6387,8.1220,97.37,106.9,44.1,96.7,1854.95
1763910631470,68.52,0.05,1563,57.6,97.02,93.88,99.30,97.65,12.61,1.6437,8.1220,97.37,106.9,44.1,96.7,1854.96
1763910632470,67.94,0.00,1563,57.6,97.01,93.86,99.30,97.65,12.61,1.6487,8.1220,97.37,106.9,44.1,96.7,1854.96
1763910633470,68.16,0.07,1563,57.6,97.00,93.85,99.30,97.65,12.61,1.6537,8.1220,97.36,106.9,44.1,96.7,1854.96
1763910634470,67.99,0.16,1563,57.6,96.99,93.83,99.30,97.65,12.61,1.6587,8.1220,97.36,106.9,44.1,96.7,1854.96
1763910635470,68.12,0.09,1563,57.6,96.98,93.82,99.30,97.65,12.61,1.6637,8.1220,97.36,106.9,44.1,96.7,1854.96
1763910636470,67.76,0.00,1563,57.6,96.97,93.80,99.30,97.65,12.61,1.6687,8.1220,97.36,106.9,44.1,96.7,1854.96
1763910637470,68.11,0.00,1563,57.6,96.96,93.79,99.30,97.65,12.61,1.6737,8.1220,97.36,106.9,44.1,96.7,1854.96
1763910638470,68.53,0.00,1563,57.6,96.95,93.77,99.30,97.65,12.61,1.6787,8.1220,97.35,106.9,44.1,96.6,1854.96
1763910639470,68.32,0.00,1563,57.6,96.94,93.76,99.30,97.65,12.61,1.6837,8.1220,97.35,106.9,44.1,96.6,1854.96
1763910640470,68.39,0.00,1563,57.6,96.93,93.74,99.30,97.65,12.61,1.6887,8.1220,97.35,106.9,44.1,96.6,1854.96
1763910641470,67.85,0.05,1563,57.6,96.92,93.73,99.30,97.65,12.61,1.6937,8.1220,97.35,106.9,44.1,96.6,1854.96
1763910642470,67.66,0.16,1563,57.6,96.91,93.71,99.30,97.65,12.61,1.6987,8.1220,97.35,106.9,44.1,96.6,1854.96
1763910643470,68.29,0.03,1563,57.6,96.90,93.70,99.30,97.65,12.61,1.7037,8.1220,97.34,106.9,44.1,96.6,1854.96
1763910644470,67.83,0.13,1563,57.6,96.89,93.68,99.30,97.65,12.61,1.7087,8.1220,97.34,106.9,44.1,96.6,1854.96
1763910645470,67.44,0.01,1563,57.6,96.88,93.67,99.30,97.65,12.61,1.7137,8.1220,97.34,106.9,44.1,96.6,1854.96
1763910646470,67.93,0.05,1563,57.6,96.87,93.65,99.30,97.65,12.61,1.7187,8.1220,97.34,106.9,44.1,96.6,1854.96
1763910647470,68.68,0.00,1563,57.6,96.86,93.64,99.30,97.65,12.61,1.7237,8.1220,97.34,106.9,44.1,96.6,1854.96
1763910648470,69.09,0.00,1563,57.6,96.85,93.62,99.30,97.65,12.61,1.7287,8.1220,97.33,106.9,44.1,96.5,1854.96
1763910649470,69.67,0.00,1563,57.6,96.84,93.61,99.30,97.65,12.61,1.7337,8.1220,97.33,106.9,44.1,96.5,1854.96
1763910650470,69.21,0.00,1563,57.6,96.83,93.59,99.30,97.65,12.61,1.7387,8.1220,97.33,106.9,44.1,96.5,1854.96
1763910651470,68.85,0.09,1563,57.6,96.82,93.58,99.30,97.65,12.61,1.7437,8.1220,97.33,106.9,44.1,96.5,1854.96
1763910652470,68.89,0.02,1563,57.6,96.81,93.56,99.30,97.65,12.61,1.7487,8.1220,97.33,106.9,44.1,96.5,1854.96
1763910653470,68.60,0.00,1563,57.6,96.80,93.55,99.30,97.65,12.61,1.7537,8.1220,97.32,106.9,44.1,96.5,1854.96
1763910654470,67.95,0.00,1563,57.6,96.79,93.53,99.30,97.65,12.61,1.7587,8.1220,97.32,106.9,44.1,96.5,1854.96
1763910655470,67.30,0.00,1563,57.6,96.78,93.52,99.30,97.65,12.61,1.7637,8.1220,97.32,106.9,44.1,96.5,1854.96
1763910656470,68.01,0.00,1563,57.6,96.77,93.50,99.30,97.65,12.61,1.7687,8.1220,97.32,106.9,44.1,96.5,1854.96
1763910657470,67.82,0.00,1563,57.6,96.76,93.49,99.30,97.65,12.61,1.7737,8.1220,97.32,106.9,44.1,96.5,1854.96
1763910658470,68.11,0.00,1563,57.6,96.75,93.47,99.30,97.65,12.61,1.7787,8.1220,97.31,106.9,44.1,96.4,1854.96
1763910659470,68.11,0.14,1563,57.6,96.74,93.46,99.30,97.65,12.61,1.7837,8.1220,97.31,106.9,44.1,96.4,1854.96
1763910660470,67.92,0.26,1563,57.6,96.73,93.44,99.30,97.65,12.61,1.7887,8.1220,97.31,106.9,44.1,96.4,1854.96
1763910661470,67.95,0.39,1563,57.6,96.72,93.43,99.30,97.65,12.61,1.7937,8.1220,97.31,106.9,44.1,96.4,1854.96
1763910662470,67.35,0.34,1563,57.6,96.71,93.41,99.30,97.65,12.61,1.7987,8.1220,97.31,106.9,44.1,96.4,1854.96
1763910663470,67.42,0.40,1563,57.6,96.70,93.40,99.30,97.65,12.61,1.8037,8.1220,97.30,106.9,44.1,96.4,1854.96
1763910664470,66.83,0.47,1563,57.6,96.69,93.38,99.30,97.65,12.61,1.8087,8.1220,97.30,106.9,44.1,96.4,1854.96
1763910665470,66.44,0.54,1563,57.6,96.68,93.37,99.30,97.65,12.61,1.8137,8.1220,97.30,106.9,44.1,96.4,1854.96
1763910666470,66.26,0.59,1563,57.6,96.67,93.35,99.30,97.65,12.61,1.8187,8.1220,97.30,106.9,44.1,96.4,1854.96
1763910667470,65.75,0.55,1563,57.6,96.66,93.34,99.30,97.65,12.61,1.8237,8.1220,97.30,106.9,44.1,96.4,1854.97
1763910668470,66.37,0.52,1563,57.6,96.65,93.32,99.30,97.65,12.61,1.8287,8.1220,97.29,106.9,44.1,96.3,1854.97
1763910669470,66.66,0.48,1563,57.6,96.64,93.31,99.30,97.65,12.61,1.8337,8.1220,97.29,106.9,44.1,96.3,1854.97
1763910670470,65.96,0.63,1563,57.6,96.63,93.29,99.30,97.65,12.61,1.8387,8.1220,97.29,106.9,44.1,96.3,1854.97
