timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586507,72.96,0.74,1493,61.5,83.48,99.34,84.19,94.75,16.35,0.3917,3.2991,96.07,109.3,43.0,99.2,1380.32
1763910587507,73.61,0.61,1493,61.5,83.47,99.32,84.19,94.75,16.35,0.3967,3.2991,96.07,109.3,43.0,99.2,1380.32
1763910588507,73.19,0.71,1493,61.5,83.46,99.31,84.19,94.75,16.35,0.4017,3.2991,96.06,109.3,43.0,99.2,1380.32
1763910589507,72.57,0.73,1493,61.5,83.45,99.29,84.19,94.75,16.35,0.4067,3.2991,96.06,109.3,43.0,99.2,1380.32
1763910590507,72.69,0.68,1493,61.5,83.44,99.28,84.19,94.75,16.35,0.4117,3.2991,96.06,109.3,43.0,99.2,1380.32
1763910591507,72.86,0.58,1493,61.5,83.43,99.26,84.19,94.75,16.35,0.4167,3.2991,96.06,109.3,43.0,99.2,1380.32
1763910592507,72.65,0.45,1493,61.5,83.42,99.25,84.19,94.75,16.35,0.4217,3.2991,96.06,109.3,43.0,99.2,1380.32
1763910593507,71.94,0.54,1493,61.5,83.41,99.23,84.19,94.75,16.35,0.4267,3.2991,96.05,109.3,43.0,99.1,1380.32
1763910594507,71.34,0.43,1493,61.5,83.40,99.22,84.19,94.75,16.35,0.4317,3.2991,96.05,109.3,43.0,99.1,1380.32
1763910595507,71.56,0.28,1493,61.5,83.39,99.20,84.19,94.75,16.35,0.4367,3.2991,96.05,109.3,43.0,99.1,1380.32
1763910596507,71.09,0.24,1493,61.5,83.38,99.19,84.19,94.75,16.35,0.4417,3.2991,96.05,109.3,43.0,99.1,1380.32
1763910597507,70.81,0.25,1493,61.5,83.37,99.17,84.19,94.75,16.35,0.4467,3.2991,96.05,109.3,43.0,99.1,1380.32
1763910598507,70.08,0.20,1493,61.5,83.36,99.16,84.19,94.75,16.35,0.4517,3.2991,96.04,109.3,43.0,99.1,1380.32
1763910599507,69.64,0.30,1493,61.5,83.35,99.14,84.19,94.75,16.35,0.4567,3.2991,96.04,109.3,43.0,99.1,1380.32
1763910600507,68.92,0.29,1493,61.5,83.34,99.13,84.19,94.75,16.35,0.4617,3.2991,96.04,109.3,43.0,99.1,1380.32
1763910601507,69.56,0.24,1493,61.5,83.33,99.11,84.19,94.75,16.35,0.4667,3.2991,96.04,109.3,43.0,99.1,1380.32
1763910602507,70.01,0.24,1493,61.5,83.32,99.10,84.19,94.75,16.35,0.4717,3.2991,96.04,109.3,43.0,99.1,1380.32
1763910603507,70.33,0.13,1493,61.5,83.31,99.08,84.19,94.75,16.35,0.4767,3.2991,96.03,109.3,43.0,99.0,1380.32
1763910604507,70.47,0.17,1493,61.5,83.30,99.07,84.19,94.75,16.35,0.4817,3.2991,96.03,109.3,43.0,99.0,1380.32
1763910605507,70.96,0.14,1493,61.5,83.29,99.05,84.19,94.75,16.35,0.4867,3.2991,96.03,109.3,43.0,99.0,1380.32
1763910606507,70.67,0.04,1493,61.5,83.28,99.04,84.19,94.75,16.35,0.4917,3.2991,96.03,109.3,43.0,99.0,1380.32
1763910607507,70.04,0.09,1493,61.5,83.27,99.02,84.19,94.75,16.35,0.4967,3.2991,96.03,109.3,43.0,99.0,1380.32
1763910608507,70.31,0.14,1493,61.5,83.26,99.01,84.19,94.75,16.35,0.5017,3.2991,96.02,109.3,43.0,99.0,1380.32
1763910609507,70.73,0.07,1493,61.5,83.25,98.99,84.19,94.75,16.35,0.5067,3.2991,96.02,109.3,43.0,99.0,1380.32
1763910610507,70.41,0.00,1493,61.5,83.24,98.98,84.19,94.75,16.35,0.5117,3.2991,96.02,109.3,43.0,99.0,1380.32
1763910611507,71.12,0.14,1493,61.5,83.23,98.96,84.19,94.75,16.35,0.5167,3.2991,96.02,109.3,43.0,99.0,1380.32
1763910612507,71.09,0.06,1493,61.5,83.22,98.95,84.19,94.75,16.35,0.5217,3.2991,96.02,109.3,43.0,99.0,1380.32
1763910613507,71.13,0.00,1493,61.5,83.21,98.93,84.19,94.75,16.35,0.5267,3.2991,96.01,109.3,43.0,98.9,1380.32
1763910614507,70.54,0.03,1493,61.5,83.20,98.92,84.19,94.75,16.35,0.5317,3.2991,96.01,109.3,43.0,98.9,1380.33
1763910615507,71.03,0.08,1493,61.5,83.19,98.90,84.19,94.75,16.35,0.5367,3.2991,96.01,109.3,43.0,98.9,1380.33
1763910616507,70.93,0.00,1493,61.5,83.18,98.89,84.19,94.75,16.35,0.5417,3.2991,96.01,109.3,43.0,98.9,1380.33
1763910617507,71.54,0.00,1493,61.5,83.17,98.87,84.19,94.75,16.35,0.5467,3.2991,96.01,109.3,43.0,98.9,1380.33
1763910618507,72.07,0.02,1493,61.5,83.16,98.86,84.19,94.75,16.35,0.5517,3.2991,96.00,109.3,43.0,98.9,1380.33
