timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586430,73.19,0.65,1470,62.2,90.49,81.46,90.36,96.81,4.81,1.8872,4.1512,95.02,101.0,41.2,96.2,2070.23
1763910587430,73.96,0.65,1470,62.2,90.48,81.44,90.36,96.81,4.81,1.8922,4.1512,95.02,101.0,41.2,96.2,2070.23
1763910588430,74.36,0.55,1470,62.2,90.47,81.43,90.36,96.81,4.81,1.8972,4.1512,95.02,101.0,41.2,96.2,2070.23
1763910589430,74.35,0.63,1470,62.2,90.46,81.41,90.36,96.81,4.81,1.9022,4.1512,95.02,101.0,41.2,96.2,2070.23
1763910590430,74.79,0.50,1470,62.2,90.45,81.40,90.36,96.81,4.81,1.9072,4.1512,95.02,101.0,41.2,96.2,2070.23
1763910591430,74.41,0.50,1470,62.2,90.44,81.38,90.36,96.81,4.81,1.9122,4.1512,95.01,101.0,41.2,96.2,2070.23
1763910592430,73.86,0.58,1470,62.2,90.43,81.37,90.36,96.81,4.81,1.9172,4.1512,95.01,101.0,41.2,96.2,2070.23
1763910593430,74.11,0.65,1470,62.2,90.42,81.35,90.36,96.81,4.81,1.9222,4.1512,95.01,101.0,41.2,96.2,2070.23
1763910594430,74.19,0.63,1470,62.2,90.41,81.34,90.36,96.81,4.81,1.9272,4.1512,95.01,101.0,41.2,96.1,2070.23
1763910595430,74.66,0.68,1470,62.2,90.40,81.32,90.36,96.81,4.81,1.9322,4.1512,95.01,101.0,41.2,96.1,2070.23
1763910596430,75.08,0.69,1470,62.2,90.39,81.31,90.36,96.81,4.81,1.9372,4.1512,95.00,101.0,41.2,96.1,2070.23
1763910597430,74.97,0.83,1470,62.2,90.38,81.29,90.36,96.81,4.81,1.9422,4.1512,95.00,101.0,41.2,96.1,2070.23
1763910598430,75.38,0.80,1470,62.2,90.37,81.28,90.36,96.81,4.81,1.9472,4.1512,95.00,101.0,41.2,96.1,2070.23
1763910599430,74.70,0.83,1470,62.2,90.36,81.26,90.36,96.81,4.81,1.9522,4.1512,95.00,101.0,41.2,96.1,2070.23
1763910600430,74.93,0.91,1470,62.2,90.35,81.25,90.36,96.81,4.81,1.9572,4.1512,95.00,101.0,41.2,96.1,2070.23
1763910601430,74.25,0.79,1470,62.2,90.34,81.23,90.36,96.81,4.81,1.9622,4.1512,94.99,101.0,41.2,96.1,2070.23
1763910602430,74.51,0.69,1470,62.2,90.33,81.22,90.36,96.81,4.81,1.9672,4.1512,94.99,101.0,41.2,96.1,2070.23
1763910603430,73.84,0.71,1470,62.2,90.32,81.20,90.36,96.81,4.81,1.9722,4.1512,94.99,101.0,41.2,96.1,2070.23
1763910604430,73.14,0.68,1470,62.2,90.31,81.19,90.36,96.81,4.81,1.9772,4.1512,94.99,101.0,41.2,96.0,2070.24
1763910605430,72.71,0.65,1470,62.2,90.30,81.17,90.36,96.81,4.81,1.9822,4.1512,94.99,101.0,41.2,96.0,2070.24
1763910606430,72.90,0.63,1470,62.2,90.29,81.16,90.36,96.81,4.81,1.9872,4.1512,94.98,101.0,41.2,96.0,2070.24
1763910607430,73.24,0.57,1470,62.2,90.28,81.14,90.36,96.81,4.81,1.9922,4.1512,94.98,101.0,41.2,96.0,2070.24
1763910608430,72.93,0.65,1470,62.2,90.27,81.13,90.36,96.81,4.81,1.9972,4.1512,94.98,101.0,41.2,96.0,2070.24
1763910609430,72.85,0.64,1470,62.2,90.26,81.11,90.36,96.81,4.81,2.0022,4.1512,94.98,101.0,41.2,96.0,2070.24
1763910610430,73.34,0.59,1470,62.2,90.25,81.10,90.36,96.81,4.81,2.0072,4.1512,94.98,101.0,41.2,96.0,2070.24
1763910611430,73.20,0.61,1470,62.2,90.24,81.08,90.36,96.81,4.81,2.0122,4.1512,94.97,101.0,41.2,96.0,2070.24
1763910612430,72.62,0.56,1470,62.2,90.23,81.07,90.36,96.81,4.81,2.0172,4.1512,94.97,101.0,41.2,96.0,2070.24
1763910613430,72.19,0.44,1470,62.2,90.22,81.05,90.36,96.81,4.81,2.0222,4.1512,94.97,101.0,41.2,96.0,2070.24
1763910614430,72.88,0.58,1470,62.2,90.21,81.04,90.36,96.81,4.81,2.0272,4.1512,94.97,101.0,41.2,95.9,2070.24
1763910615430,73.14,0.48,1470,62.2,90.20,81.02,90.36,96.81,4.81,2.0322,4.1512,94.97,101.0,41.2,95.9,2070.24
1763910616430,73.62,0.63,1470,62.2,90.19,81.01,90.36,96.81,4.81,2.0372,4.1512,94.96,101.0,41.2,95.9,2070.24
1763910617430,73.66,0.60,1470,62.2,90.18,80.99,90.36,96.81,4.81,2.0422,4.1512,94.96,101.0,41.2,95.9,2070.24
