timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586449,90.85,3.60,1366,55.5,41.69,89.43,89.45,90.30,1.26,6.7135,8.7410,71.56,102.1,45.1,83.6,1044.64
1763910587449,90.51,3.75,1366,55.5,41.68,89.42,89.45,90.30,1.26,6.7185,8.7410,71.56,102.1,45.1,83.8,1044.64
1763910588449,90.65,3.70,1366,55.5,41.67,89.40,89.45,90.30,1.26,6.7235,8.7410,71.56,102.1,45.1,83.7,1044.64
1763910589449,91.01,3.57,1366,55.5,41.66,89.39,89.45,90.30,1.26,6.7285,8.7410,71.56,102.1,45.1,83.5,1044.64
1763910590449,90.89,3.61,1366,55.5,41.65,89.37,89.45,90.30,1.26,6.7335,8.7410,71.56,102.1,45.1,83.6,1044.65
1763910591449,90.69,3.59,1366,55.5,41.64,89.36,89.45,90.30,1.26,6.7385,8.7410,71.55,102.1,45.1,83.7,1044.65
1763910592449,90.31,3.70,1366,55.5,41.63,89.34,89.45,90.30,1.26,6.7435,8.7410,71.55,102.1,45.1,83.9,1044.65
1763910593449,90.15,3.63,1366,55.5,41.62,89.33,89.45,90.30,1.26,6.7485,8.7410,71.55,102.1,45.1,83.9,1044.65
1763910594449,90.57,3.77,1366,55.5,41.61,89.31,89.45,90.30,1.26,6.7535,8.7410,71.55,102.1,45.1,83.7,1044.65
1763910595449,90.95,3.66,1366,55.5,41.60,89.30,89.45,90.30,1.26,6.7585,8.7410,71.55,102.1,45.1,83.5,1044.65
1763910596449,91.50,3.63,1366,55.5,41.59,89.28,89.45,90.30,1.26,6.7635,8.7410,71.54,102.1,45.1,83.2,1044.65
1763910597449,91.08,3.76,1366,55.5,41.58,89.27,89.45,90.30,1.26,6.7685,8.7410,71.54,102.1,45.1,83.4,1044.65
1763910598449,91.51,3.64,1366,55.5,41.57,89.25,89.45,90.30,1.26,6.7735,8.7410,71.54,102.1,45.1,83.2,1044.65
1763910599449,91.66,3.74,1366,55.5,41.56,89.24,89.45,90.30,1.26,6.7785,8.7410,71.54,102.1,45.1,83.1,1044.65
1763910600449,91.97,3.69,1366,55.5,41.55,89.22,89.45,90.30,1.26,6.7835,8.7410,71.54,102.1,45.1,82.9,1044.65
1763910601449,91.51,3.60,1366,55.5,41.54,89.21,89.45,90.30,1.26,6.7885,8.7410,71.53,102.1,45.1,83.2,1044.65
1763910602449,91.58,3.69,1366,55.5,41.53,89.19,89.45,90.30,1.26,6.7935,8.7410,71.53,102.1,45.1,83.1,1044.65
1763910603449,91.55,3.83,1366,55.5,41.52,89.18,89.45,90.30,1.26,6.7985,8.7410,71.53,102.1,45.1,83.1,1044.65
1763910604449,91.82,3.78,1366,55.5,41.51,89.16,89.45,90.30,1.26,6.8035,8.7410,71.53,102.1,45.1,83.0,1044.65
1763910605449,91.92,3.91,1366,55.5,41.50,89.15,89.45,90.30,1.26,6.8085,8.7410,71.53,102.1,45.1,82.9,1044.65
1763910606449,91.48,3.93,1366,55.5,41.49,89.13,89.45,90.30,1.26,6.8135,8.7410,71.52,102.1,45.1,83.1,1044.65
1763910607449,91.02,3.79,1366,55.5,41.48,89.12,89.45,90.30,1.26,6.8185,8.7410,71.52,102.1,45.1,83.4,1044.65
1763910608449,91.58,3.70,1366,55.5,41.47,89.10,89.45,90.30,1.26,6.8235,8.7410,71.52,102.1,45.1,83.1,1044.65
1763910609449,92.07,3.71,1366,55.5,41.46,89.09,89.45,90.30,1.26,6.8285,8.7410,71.52,102.1,45.1,82.8,1044.65
1763910610449,91.94,3.64,1366,55.5,41.45,89.07,89.45,90.30,1.26,6.8335,8.7410,71.52,102.1,45.1,82.9,1044.65
1763910611449,91.78,3.60,1366,55.5,41.44,89.06,89.45,90.30,1.26,6.8385,8.7410,71.51,102.1,45.1,82.9,1044.65
1763910612449,92.03,3.47,1366,55.5,41.43,89.04,89.45,90.30,1.26,6.8435,8.7410,71.51,102.1,45.1,82.8,1044.65
1763910613449,92.29,3.37,1366,55.5,41.42,89.03,89.45,90.30,1.26,6.8485,8.7410,71.51,102.1,45.1,82.7,1044.65
