timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586534,71.14,1.27,1436,58.9,92.25,80.85,91.93,82.55,0.24,0.7235,5.2028,96.76,105.5,43.2,98.6,2364.22
1763910587534,71.64,1.40,1436,58.9,92.24,80.84,91.93,82.55,0.24,0.7285,5.2028,96.76,105.5,43.2,98.5,2364.22
1763910588534,71.58,1.31,1436,58.9,92.23,80.82,91.93,82.55,0.24,0.7335,5.2028,96.75,105.5,43.2,98.5,2364.22
1763910589534,71.00,1.36,1436,58.9,92.22,80.81,91.93,82.55,0.24,0.7385,5.2028,96.75,105.5,43.2,98.5,2364.22
1763910590534,71.67,1.32,1436,58.9,92.21,80.79,91.93,82.55,0.24,0.7435,5.2028,96.75,105.5,43.2,98.5,2364.22
1763910591534,71.52,1.35,1436,58.9,92.20,80.78,91.93,82.55,0.24,0.7485,5.2028,96.75,105.5,43.2,98.5,2364.22
1763910592534,71.09,1.47,1436,58.9,92.19,80.76,91.93,82.55,0.24,0.7535,5.2028,96.75,105.5,43.2,98.5,2364.22
1763910593534,71.85,1.53,1436,58.9,92.18,80.75,91.93,82.55,0.24,0.7585,5.2028,96.74,105.5,43.2,98.5,2364.22
1763910594534,71.66,1.44,1436,58.9,92.17,80.73,91.93,82.55,0.24,0.7635,5.2028,96.74,105.5,43.2,98.5,2364.22
1763910595534,71.11,1.35,1436,58.9,92.16,80.72,91.93,82.55,0.24,0.7685,5.2028,96.74,105.5,43.2,98.5,2364.22
1763910596534,70.68,1.27,1436,58.9,92.15,80.70,91.93,82.55,0.24,0.7735,5.2028,96.74,105.5,43.2,98.5,2364.23
1763910597534,71.39,1.40,1436,58.9,92.14,80.69,91.93,82.55,0.24,0.7785,5.2028,96.74,105.5,43.2,98.4,2364.23
1763910598534,71.43,1.37,1436,58.9,92.13,80.67,91.93,82.55,0.24,0.7835,5.2028,96.73,105.5,43.2,98.4,2364.23
1763910599534,71.87,1.34,1436,58.9,92.12,80.66,91.93,82.55,0.24,0.7885,5.2028,96.73,105.5,43.2,98.4,2364.23
1763910600534,71.89,1.44,1436,58.9,92.11,80.64,91.93,82.55,0.24,0.7935,5.2028,96.73,105.5,43.2,98.4,2364.23
1763910601534,72.26,1.51,1436,58.9,92.10,80.63,91.93,82.55,0.24,0.7985,5.2028,96.73,105.5,43.2,98.4,2364.23
