timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586491,73.05,0.45,1659,76.1,84.31,95.77,88.34,96.99,3.68,2.0038,5.7030,95.80,104.4,46.6,96.0,2863.48
1763910587491,73.47,0.47,1659,76.1,84.30,95.76,88.34,96.99,3.68,2.0088,5.7030,95.80,104.4,46.6,96.0,2863.48
1763910588491,73.01,0.32,1659,76.1,84.29,95.74,88.34,96.99,3.68,2.0138,5.7030,95.79,104.4,46.6,96.0,2863.48
1763910589491,73.70,0.41,1659,76.1,84.28,95.73,88.34,96.99,3.68,2.0188,5.7030,95.79,104.4,46.6,96.0,2863.48
1763910590491,73.15,0.34,1659,76.1,84.27,95.71,88.34,96.99,3.68,2.0238,5.7030,95.79,104.4,46.6,96.0,2863.48
1763910591491,72.72,0.22,1659,76.1,84.26,95.70,88.34,96.99,3.68,2.0288,5.7030,95.79,104.4,46.6,95.9,2863.48
1763910592491,72.37,0.24,1659,76.1,84.25,95.68,88.34,96.99,3.68,2.0338,5.7030,95.79,104.4,46.6,95.9,2863.48
1763910593491,71.69,0.16,1659,76.1,84.24,95.67,88.34,96.99,3.68,2.0388,5.7030,95.78,104.4,46.6,95.9,2863.48
1763910594491,71.50,0.11,1659,76.1,84.23,95.65,88.34,96.99,3.68,2.0438,5.7030,95.78,104.4,46.6,95.9,2863.48
1763910595491,72.10,0.16,1659,76.1,84.22,95.64,88.34,96.99,3.68,2.0488,5.7030,95.78,104.4,46.6,95.9,2863.48
1763910596491,71.51,0.07,1659,76.1,84.21,95.62,88.34,96.99,3.68,2.0538,5.7030,95.78,104.4,46.6,95.9,2863.48
1763910597491,71.01,0.02,1659,76.1,84.20,95.61,88.34,96.99,3.68,2.0588,5.7030,95.78,104.4,46.6,95.9,2863.48
1763910598491,71.11,0.12,1659,76.1,84.19,95.59,88.34,96.99,3.68,2.0638,5.7030,95.77,104.4,46.6,95.9,2863.48
1763910599491,71.05,0.20,1659,76.1,84.18,95.58,88.34,96.99,3.68,2.0688,5.7030,95.77,104.4,46.6,95.9,2863.48
1763910600491,71.28,0.17,1659,76.1,84.17,95.56,88.34,96.99,3.68,2.0738,5.7030,95.77,104.4,46.6,95.9,2863.48
1763910601491,71.98,0.29,1659,76.1,84.16,95.55,88.34,96.99,3.68,2.0788,5.7030,95.77,104.4,46.6,95.8,2863.48
1763910602491,72.33,0.30,1659,76.1,84.15,95.53,88.34,96.99,3.68,2.0838,5.7030,95.77,104.4,46.6,95.8,2863.48
1763910603491,71.74,0.30,1659,76.1,84.14,95.52,88.34,96.99,3.68,2.0888,5.7030,95.76,104.4,46.6,95.8,2863.48
1763910604491,71.06,0.25,1659,76.1,84.13,95.50,88.34,96.99,3.68,2.0938,5.7030,95.76,104.4,46.6,95.8,2863.48
1763910605491,71.53,0.30,1659,76.1,84.12,95.49,88.34,96.99,3.68,2.0988,5.7030,95.76,104.4,46.6,95.8,2863.49
1763910606491,71.59,0.33,1659,76.1,84.11,95.47,88.34,96.99,3.68,2.1038,5.7030,95.76,104.4,46.6,95.8,2863.49
1763910607491,71.48,0.23,1659,76.1,84.10,95.46,88.34,96.99,3.68,2.1088,5.7030,95.76,104.4,46.6,95.8,2863.49
1763910608491,72.01,0.36,1659,76.1,84.09,95.44,88.34,96.99,3.68,2.1138,5.7030,95.75,104.4,46.6,95.8,2863.49
1763910609491,71.40,0.29,1659,76.1,84.08,95.43,88.34,96.99,3.68,2.1188,5.7030,95.75,104.4,46.6,95.8,2863.49
1763910610491,71.09,0.39,1659,76.1,84.07,95.41,88.34,96.99,3.68,2.1238,5.7030,95.75,104.4,46.6,95.8,2863.49
1763910611491,71.04,0.49,1659,76.1,84.06,95.40,88.34,96.99,3.68,2.1288,5.7030,95.75,104.4,46.6,95.7,2863.49
1763910612491,71.31,0.53,1659,76.1,84.05,95.38,88.34,96.99,3.68,2.1338,5.7030,95.75,104.4,46.6,95.7,2863.49
1763910613491,71.63,0.43,1659,76.1,84.04,95.37,88.34,96.99,3.68,2.1388,5.7030,95.74,104.4,46.6,95.7,2863.49
1763910614491,71.60,0.49,1659,76.1,84.03,95.35,88.34,96.99,3.68,2.1438,5.7030,95.74,104.4,46.6,95.7,2863.49
1763910615491,70.99,0.60,1659,76.1,84.02,95.34,88.34,96.99,3.68,2.1488,5.7030,95.74,104.4,46.6,95.7,2863.49
1763910616491,70.46,0.58,1659,76.1,84.01,95.32,88.34,96.99,3.68,2.1538,5.7030,95.74,104.4,46.6,95.7,2863.49
1763910617491,71.06,0.70,1659,76.1,84.00,95.31,88.34,96.99,3.68,2.1588,5.7030,95.74,104.4,46.6,95.7,2863.49
1763910618491,71.60,0.57,1659,76.1,83.99,95.29,88.34,96.99,3.68,2.1638,5.7030,95.73,104.4,46.6,95.7,2863.49
1763910619491,71.48,0.56,1659,76.1,83.98,95.28,88.34,96.99,3.68,2.1688,5.7030,95.73,104.4,46.6,95.7,2863.49
1763910620491,71.68,0.44,1659,76.1,83.97,95.26,88.34,96.99,3.68,2.1738,5.7030,95.73,104.4,46.6,95.7,2863.49
1763910621491,71.29,0.50,1659,76.1,83.96,95.25,88.34,96.99,3.68,2.1788,5.7030,95.73,104.4,46.6,95.6,2863.49
1763910622491,71.56,0.56,1659,76.1,83.95,95.23,88.34,96.99,3.68,2.1838,5.7030,95.73,104.4,46.6,95.6,2863.49
1763910623491,71.08,0.70,1659,76.1,83.94,95.22,88.34,96.99,3.68,2.1888,5.7030,95.72,104.4,46.6,95.6,2863.49
1763910624491,70.80,0.56,1659,76.1,83.93,95.20,88.34,96.99,3.68,2.1938,5.7030,95.72,104.4,46.6,95.6,2863.49
1763910625491,71.45,0.46,1659,76.1,83.92,95.19,88.34,96.99,3.68,2.1988,5.7030,95.72,104.4,46.6,95.6,2863.49
1763910626491,71.87,0.32,1659,76.1,83.91,95.17,88.34,96.99,3.68,2.2038,5.7030,95.72,104.4,46.6,95.6,2863.49
1763910627491,72.36,0.44,1659,76.1,83.90,95.16,88.34,96.99,3.68,2.2088,5.7030,95.72,104.4,46.6,95.6,2863.49
1763910628491,72.36,0.53,1659,76.1,83.89,95.14,88.34,96.99,3.68,2.2138,5.7030,95.71,104.4,46.6,95.6,2863.49
1763910629491,72.13,0.38,1659,76.1,83.88,95.13,88.34,96.99,3.68,2.2188,5.7030,95.71,104.4,46.6,95.6,2863.49
1763910630491,72.54,0.45,1659,76.1,83.87,95.11,88.34,96.99,3.68,2.2238,5.7030,95.71,104.4,46.6,95.6,2863.49
1763910631491,72.24,0.36,1659,76.1,83.86,95.10,88.34,96.99,3.68,2.2288,5.7030,95.71,104.4,46.6,95.5,2863.49
1763910632491,72.08,0.34,1659,76.1,83.85,95.08,88.34,96.99,3.68,2.2338,5.7030,95.71,104.4,46.6,95.5,2863.49
1763910633491,71.89,0.21,1659,76.1,83.84,95.07,88.34,96.99,3.68,2.2388,5.7030,95.70,104.4,46.6,95.5,2863.49
1763910634491,72.35,0.10,1659,76.1,83.83,95.05,88.34,96.99,3.68,2.2438,5.7030,95.70,104.4,46.6,95.5,2863.49
1763910635491,72.26,0.15,1659,76.1,83.82,95.04,88.34,96.99,3.68,2.2488,5.7030,95.70,104.4,46.6,95.5,2863.49
1763910636491,71.54,0.05,1659,76.1,83.81,95.02,88.34,96.99,3.68,2.2538,5.7030,95.70,104.4,46.6,95.5,2863.49
1763910637491,71.31,0.10,1659,76.1,83.80,95.01,88.34,96.99,3.68,2.2588,5.7030,95.70,104.4,46.6,95.5,2863.49
1763910638491,71.22,0.14,1659,76.1,83.79,94.99,88.34,96.99,3.68,2.2638,5.7030,95.69,104.4,46.6,95.5,2863.49
1763910639491,71.12,0.02,1659,76.1,83.78,94.98,88.34,96.99,3.68,2.2688,5.7030,95.69,104.4,46.6,95.5,2863.49
1763910640491,71.22,0.00,1659,76.1,83.77,94.96,88.34,96.99,3.68,2.2738,5.7030,95.69,104.4,46.6,95.5,2863.49
1763910641491,70.69,0.04,1659,76.1,83.76,94.95,88.34,96.99,3.68,2.2788,5.7030,95.69,104.4,46.6,95.4,2863.50
1763910642491,71.32,0.00,1659,76.1,83.75,94.93,88.34,96.99,3.68,2.2838,5.7030,95.69,104.4,46.6,95.4,2863.50
1763910643491,71.54,0.02,1659,76.1,83.74,94.92,88.34,96.99,3.68,2.2888,5.7030,95.68,104.4,46.6,95.4,2863.50
1763910644491,71.28,0.00,1659,76.1,83.73,94.90,88.34,96.99,3.68,2.2938,5.7030,95.68,104.4,46.6,95.4,2863.50
1763910645491,70.89,0.00,1659,76.1,83.72,94.89,88.34,96.99,3.68,2.2988,5.7030,95.68,104.4,46.6,95.4,2863.50
1763910646491,71.05,0.15,1659,76.1,83.71,94.87,88.34,96.99,3.68,2.3038,5.7030,95.68,104.4,46.6,95.4,2863.50
1763910647491,71.03,0.16,1659,76.1,83.70,94.86,88.34,96.99,3.68,2.3088,5.7030,95.68,104.4,46.6,95.4,2863.50
1763910648491,70.94,0.10,1659,76.1,83.69,94.84,88.34,96.99,3.68,2.3138,5.7030,95.67,104.4,46.6,95.4,2863.50
1763910649491,70.44,0.02,1659,76.1,83.68,94.83,88.34,96.99,3.68,2.3188,5.7030,95.67,104.4,46.6,95.4,2863.50
