timestamp,temperature,vibration,rpm,load,oil_pct,coolant_pct,hydraulic_oil_pct,brake_fluid_pct,filter_clog_pct,bearing_wear,drive_belt_wear,motor_health_pct,pressure,humidity,efficiency_pct,usage_hours
1763910586513,72.28,1.03,1341,52.8,82.46,87.88,80.44,93.35,3.92,1.5832,7.6533,96.01,109.1,44.5,96.8,2319.12
1763910587513,72.66,1.00,1341,52.8,82.45,87.86,80.44,93.35,3.92,1.5882,7.6533,96.00,109.1,44.5,96.8,2319.12
1763910588513,72.42,0.99,1341,52.8,82.44,87.85,80.44,93.35,3.92,1.5932,7.6533,96.00,109.1,44.5,96.8,2319.12
1763910589513,72.26,0.89,1341,52.8,82.43,87.83,80.44,93.35,3.92,1.5982,7.6533,96.00,109.1,44.5,96.8,2319.12
1763910590513,71.91,0.79,1341,52.8,82.42,87.82,80.44,93.35,3.92,1.6032,7.6533,96.00,109.1,44.5,96.8,2319.12
1763910591513,71.99,0.81,1341,52.8,82.41,87.80,80.44,93.35,3.92,1.6082,7.6533,96.00,109.1,44.5,96.8,2319.12
1763910592513,72.07,0.81,1341,52.8,82.40,87.79,80.44,93.35,3.92,1.6132,7.6533,95.99,109.1,44.5,96.8,2319.12
1763910593513,71.79,0.78,1341,52.8,82.39,87.77,80.44,93.35,3.92,1.6182,7.6533,95.99,109.1,44.5,96.8,2319.12
1763910594513,71.20,0.83,1341,52.8,82.38,87.76,80.44,93.35,3.92,1.6232,7.6533,95.99,109.1,44.5,96.8,2319.12
1763910595513,71.70,0.79,1341,52.8,82.37,87.74,80.44,93.35,3.92,1.6282,7.6533,95.99,109.1,44.5,96.7,2319.12
1763910596513,71.34,0.78,1341,52.8,82.36,87.73,80.44,93.35,3.92,1.6332,7.6533,95.99,109.1,44.5,96.7,2319.12
1763910597513,71.74,0.77,1341,52.8,82.35,87.71,80.44,93.35,3.92,1.6382,7.6533,95.98,109.1,44.5,96.7,2319.12
1763910598513,71.19,0.85,1341,52.8,82.34,87.70,80.44,93.35,3.92,1.6432,7.6533,95.98,109.1,44.5,96.7,2319.12
1763910599513,71.81,0.92,1341,52.8,82.33,87.68,80.44,93.35,3.92,1.6482,7.6533,95.98,109.1,44.5,96.7,2319.12
1763910600513,71.55,0.91,1341,52.8,82.32,87.67,80.44,93.35,3.92,1.6532,7.6533,95.98,109.1,44.5,96.7,2319.12
1763910601513,70.90,0.86,1341,52.8,82.31,87.65,80.44,93.35,3.92,1.6582,7.6533,95.98,109.1,44.5,96.7,2319.12
1763910602513,70.70,1.01,1341,52.8,82.30,87.64,80.44,93.35,3.92,1.6632,7.6533,95.97,109.1,44.5,96.7,2319.12
1763910603513,71.34,0.99,1341,52.8,82.29,87.62,80.44,93.35,3.92,1.6682,7.6533,95.97,109.1,44.5,96.7,2319.12
1763910604513,70.73,0.97,1341,52.8,82.28,87.61,80.44,93.35,3.92,1.6732,7.6533,95.97,109.1,44.5,96.7,2319.12
1763910605513,71.53,0.97,1341,52.8,82.27,87.59,80.44,93.35,3.92,1.6782,7.6533,95.97,109.1,44.5,96.6,2319.12
1763910606513,71.00,0.95,1341,52.8,82.26,87.58,80.44,93.35,3.92,1.6832,7.6533,95.97,109.1,44.5,96.6,2319.12
1763910607513,70.34,0.86,1341,52.8,82.25,87.56,80.44,93.35,3.92,1.6882,7.6533,95.96,109.1,44.5,96.6,2319.12
1763910608513,70.94,0.98,1341,52.8,82.24,87.55,80.44,93.35,3.92,1.6932,7.6533,95.96,109.1,44.5,96.6,2319.12
1763910609513,70.25,0.94,1341,52.8,82.23,87.53,80.44,93.35,3.92,1.6982,7.6533,95.96,109.1,44.5,96.6,2319.12
1763910610513,69.61,0.88,1341,52.8,82.22,87.52,80.44,93.35,3.92,1.7032,7.6533,95.96,109.1,44.5,96.6,2319.12
1763910611513,69.07,0.92,1341,52.8,82.21,87.50,80.44,93.35,3.92,1.7082,7.6533,95.96,109.1,44.5,96.6,2319.12
1763910612513,69.11,0.82,1341,52.8,82.20,87.49,80.44,93.35,3.92,1.7132,7.6533,95.95,109.1,44.5,96.6,2319.12
1763910613513,68.49,0.77,1341,52.8,82.19,87.47,80.44,93.35,3.92,1.7182,7.6533,95.95,109.1,44.5,96.6,2319.12
1763910614513,69.07,0.67,1341,52.8,82.18,87.46,80.44,93.35,3.92,1.7232,7.6533,95.95,109.1,44.5,96.6,2319.12
1763910615513,69.41,0.75,1341,52.8,82.17,87.44,80.44,93.35,3.92,1.7282,7.6533,95.95,109.1,44.5,96.5,2319.12
1763910616513,69.76,0.82,1341,52.8,82.16,87.43,80.44,93.35,3.92,1.7332,7.6533,95.95,109.1,44.5,96.5,2319.12
1763910617513,69.85,0.95,1341,52.8,82.15,87.41,80.44,93.35,3.92,1.7382,7.6533,95.94,109.1,44.5,96.5,2319.12
1763910618513,69.15,0.97,1341,52.8,82.14,87.40,80.44,93.35,3.92,1.7432,7.6533,95.94,109.1,44.5,96.5,2319.12
1763910619513,68.89,0.99,1341,52.8,82.13,87.38,80.44,93.35,3.92,1.7482,7.6533,95.94,109.1,44.5,96.5,2319.12
1763910620513,69.35,1.12,1341,52.8,82.12,87.37,80.44,93.35,3.92,1.7532,7.6533,95.94,109.1,44.5,96.5,2319.12
1763910621513,69.34,1.02,1341,52.8,82.11,87.35,80.44,93.35,3.92,1.7582,7.6533,95.94,109.1,44.5,96.5,2319.12
1763910622513,70.10,0.97,1341,52.8,82.10,87.34,80.44,93.35,3.92,1.7632,7.6533,95.93,109.1,44.5,96.5,2319.13
1763910623513,70.53,0.83,1341,52.8,82.09,87.32,80.44,93.35,3.92,1.7682,7.6533,95.93,109.1,44.5,96.5,2319.13
1763910624513,69.89,0.68,1341,52.8,82.08,87.31,80.44,93.35,3.92,1.7732,7.6533,95.93,109.1,44.5,96.5,2319.13
1763910625513,69.90,0.74,1341,52.8,82.07,87.29,80.44,93.35,3.92,1.7782,7.6533,95.93,109.1,44.5,96.4,2319.13
1763910626513,70.33,0.76,1341,52.8,82.06,87.28,80.44,93.35,3.92,1.7832,7.6533,95.93,109.1,44.5,96.4,2319.13
1763910627513,70.57,0.81,1341,52.8,82.05,87.26,80.44,93.35,3.92,1.7882,7.6533,95.92,109.1,44.5,96.4,2319.13
1763910628513,70.05,0.73,1341,52.8,82.04,87.25,80.44,93.35,3.92,1.7932,7.6533,95.92,109.1,44.5,96.4,2319.13
1763910629513,70.70,0.81,1341,52.8,82.03,87.23,80.44,93.35,3.92,1.7982,7.6533,95.92,109.1,44.5,96.4,2319.13
1763910630513,70.45,0.70,1341,52.8,82.02,87.22,80.44,93.35,3.92,1.8032,7.6533,95.92,109.1,44.5,96.4,2319.13
1763910631513,70.65,0.82,1341,52.8,82.01,87.20,80.44,93.35,3.92,1.8082,7.6533,95.92,109.1,44.5,96.4,2319.13
1763910632513,70.09,0.72,1341,52.8,82.00,87.19,80.44,93.35,3.92,1.8132,7.6533,95.91,109.1,44.5,96.4,2319.13
1763910633513,70.68,0.84,1341,52.8,81.99,87.17,80.44,93.35,3.92,1.8182,7.6533,95.91,109.1,44.5,96.4,2319.13
1763910634513,71.19,0.99,1341,52.8,81.98,87.16,80.44,93.35,3.92,1.8232,7.6533,95.91,109.1,44.5,96.4,2319.13
1763910635513,71.65,0.93,1341,52.8,81.97,87.14,80.44,93.35,3.92,1.8282,7.6533,95.91,109.1,44.5,96.3,2319.13
1763910636513,71.71,1.07,1341,52.8,81.96,87.13,80.44,93.35,3.92,1.8332,7.6533,95.91,109.1,44.5,96.3,2319.13
1763910637513,71.66,1.21,1341,52.8,81.95,87.11,80.44,93.35,3.92,1.8382,7.6533,95.90,109.1,44.5,96.3,2319.13
1763910638513,71.34,1.12,1341,52.8,81.94,87.10,80.44,93.35,3.92,1.8432,7.6533,95.90,109.1,44.5,96.3,2319.13
1763910639513,71.65,1.20,1341,52.8,81.93,87.08,80.44,93.35,3.92,1.8482,7.6533,95.90,109.1,44.5,96.3,2319.13
1763910640513,71.08,1.21,1341,52.8,81.92,87.07,80.44,93.35,3.92,1.8532,7.6533,95.90,109.1,44.5,96.3,2319.13
1763910641513,71.13,1.07,1341,52.8,81.91,87.05,80.44,93.35,3.92,1.8582,7.6533,95.90,109.1,44.5,96.3,2319.13
1763910642513,70.86,1.08,1341,52.8,81.90,87.04,80.44,93.35,3.92,1.8632,7.6533,95.89,109.1,44.5,96.3,2319.13
1763910643513,70.60,0.94,1341,52.8,81.89,87.02,80.44,93.35,3.92,1.8682,7.6533,95.89,109.1,44.5,96.3,2319.13
1763910644513,70.93,0.87,1341,52.8,81.88,87.01,80.44,93.35,3.92,1.8732,7.6533,95.89,109.1,44.5,96.3,2319.13
1763910645513,71.70,0.74,1341,52.8,81.87,86.99,80.44,93.35,3.92,1.8782,7.6533,95.89,109.1,44.5,96.2,2319.13
1763910646513,71.22,0.65,1341,52.8,81.86,86.98,80.44,93.35,3.92,1.8832,7.6533,95.89,109.1,44.5,96.2,2319.13
1763910647513,71.98,0.63,1341,52.8,81.85,86.96,80.44,93.35,3.92,1.8882,7.6533,95.88,109.1,44.5,96.2,2319.13
1763910648513,72.05,0.56,1341,52.8,81.84,86.95,80.44,93.35,3.92,1.8932,7.6533,95.88,109.1,44.5,96.2,2319.13
1763910649513,72.18,0.70,1341,52.8,81.83,86.93,80.44,93.35,3.92,1.8982,7.6533,95.88,109.1,44.5,96.2,2319.13
1763910650513,71.75,0.66,1341,52.8,81.82,86.92,80.44,93.35,3.92,1.9032,7.6533,95.88,109.1,44.5,96.2,2319.13
1763910651513,71.39,0.63,1341,52.8,81.81,86.90,80.44,93.35,3.92,1.9082,7.6533,95.88,109.1,44.5,96.2,2319.13
1763910652513,71.34,0.51,1341,52.8,81.80,86.89,80.44,93.35,3.92,1.9132,7.6533,95.87,109.1,44.5,96.2,2319.13
1763910653513,70.86,0.63,1341,52.8,81.79,86.87,80.44,93.35,3.92,1.9182,7.6533,95.87,109.1,44.5,96.2,2319.13
1763910654513,70.21,0.69,1341,52.8,81.78,86.86,80.44,93.35,3.92,1.9232,7.6533,95.87,109.1,44.5,96.2,2319.13
1763910655513,69.81,0.75,1341,52.8,81.77,86.84,80.44,93.35,3.92,1.9282,7.6533,95.87,109.1,44.5,96.1,2319.13
1763910656513,70.01,0.61,1341,52.8,81.76,86.83,80.44,93.35,3.92,1.9332,7.6533,95.87,109.1,44.5,96.1,2319.13
1763910657513,70.78,0.73,1341,52.8,81.75,86.81,80.44,93.35,3.92,1.9382,7.6533,95.86,109.1,44.5,96.1,2319.13
1763910658513,71.37,0.59,1341,52.8,81.74,86.80,80.44,93.35,3.92,1.9432,7.6533,95.86,109.1,44.5,96.1,2319.14
1763910659513,71.00,0.64,1341,52.8,81.73,86.78,80.44,93.35,3.92,1.9482,7.6533,95.86,109.1,44.5,96.1,2319.14
1763910660513,70.46,0.72,1341,52.8,81.72,86.77,80.44,93.35,3.92,1.9532,7.6533,95.86,109.1,44.5,96.1,2319.14
1763910661513,69.92,0.79,1341,52.8,81.71,86.75,80.44,93.35,3.92,1.9582,7.6533,95.86,109.1,44.5,96.1,2319.14
1763910662513,70.37,0.91,1341,52.8,81.70,86.74,80.44,93.35,3.92,1.9632,7.6533,95.85,109.1,44.5,96.1,2319.14
1763910663513,71.01,0.96,1341,52.8,81.69,86.72,80.44,93.35,3.92,1.9682,7.6533,95.85,109.1,44.5,96.1,2319.14
1763910664513,71.02,0.88,1341,52.8,81.68,86.71,80.44,93.35,3.92,1.9732,7.6533,95.85,109.1,44.5,96.1,2319.14
1763910665513,71.64,0.77,1341,52.8,81.67,86.69,80.44,93.35,3.92,1.9782,7.6533,95.85,109.1,44.5,96.0,2319.14
1763910666513,71.37,0.72,1341,52.8,81.66,86.68,80.44,93.35,3.92,1.9832,7.6533,95.85,109.1,44.5,96.0,2319.14
1763910667513,71.26,0.86,1341,52.8,81.65,86.66,80.44,93.35,3.92,1.9882,7.6533,95.84,109.1,44.5,96.0,2319.14
1763910668513,71.68,0.89,1341,52.8,81.64,86.65,80.44,93.35,3.92,1.9932,7.6533,95.84,109.1,44.5,96.0,2319.14
1763910669513,72.21,0.75,1341,52.8,81.63,86.63,80.44,93.35,3.92,1.9982,7.6533,95.84,109.1,44.5,96.0,2319.14
1763910670513,71.58,0.87,1341,52.8,81.62,86.62,80.44,93.35,3.92,2.0032,7.6533,95.84,109.1,44.5,96.0,2319.14
